split,data_type,line,station,station_key,feature_count,rows,missing_values,observed_values,possible_values,completeness_pct,missing_pct
test,date,0,8,L0_S8,4,1183748,2036984,2698008,4734992,56.9802,43.0198
test,date,0,9,L0_S9,13,1183748,12454441,2934283,15388724,19.0677,80.9323
test,date,0,10,L0_S10,13,1183748,12465327,2923397,15388724,18.997,81.003
test,date,0,11,L0_S11,13,1183748,12455079,2933645,15388724,19.0636,80.9364
test,date,0,12,L0_S12,12,1183748,11295996,2908980,14204976,20.4786,79.5214
test,date,0,13,L0_S13,2,1183748,1882664,484832,2367496,20.4787,79.5213
test,date,0,14,L0_S14,9,1183748,9563697,1090035,10653732,10.2315,89.7685
test,date,0,15,L0_S15,9,1183748,9562131,1091601,10653732,10.2462,89.7538
test,date,0,16,L0_S16,2,1183748,2128336,239160,2367496,10.1018,89.8982
test,date,0,17,L0_S17,2,1183748,2121626,245870,2367496,10.3852,89.6148
test,date,0,18,L0_S18,5,1183748,5312555,606185,5918740,10.2418,89.7582
test,date,0,19,L0_S19,5,1183748,5312610,606130,5918740,10.2409,89.7591
test,date,0,20,L0_S20,4,1183748,3765148,969844,4734992,20.4825,79.5175
test,date,0,21,L0_S21,15,1183748,16532657,1223563,17756220,6.8909,93.1091
test,date,0,22,L0_S22,15,1183748,16549825,1206395,17756220,6.7942,93.2058
test,date,0,23,L0_S23,15,1183748,16546845,1209375,17756220,6.811,93.189
test,date,1,24,L1_S24,288,1183748,329082720,11836704,340919424,3.472,96.528
test,date,1,25,L1_S25,333,1183748,389644972,4543112,394188084,1.1525,98.8475
test,date,2,26,L2_S26,26,1183748,24866790,5910658,30777448,19.2045,80.7955
test,date,2,27,L2_S27,26,1183748,27668992,3108456,30777448,10.0998,89.9002
test,date,2,28,L2_S28,26,1183748,30528628,248820,30777448,0.8084,99.1916
test,date,3,29,L3_S29,63,1183748,4203018,70373106,74576124,94.3641,5.6359
test,date,3,30,L3_S30,68,1183748,14285872,66208992,80494864,82.2524,17.7476
test,date,3,31,L3_S31,4,1183748,4578052,156940,4734992,3.3145,96.6855
test,date,3,32,L3_S32,1,1183748,1159613,24135,1183748,2.0389,97.9611
test,date,3,33,L3_S33,10,1183748,692540,11144940,11837480,94.1496,5.8504
test,date,3,34,L3_S34,5,1183748,344065,5574675,5918740,94.1869,5.8131
test,date,3,35,L3_S35,8,1183748,5053354,4416630,9469984,46.6382,53.3618
test,date,3,36,L3_S36,8,1183748,4918928,4551056,9469984,48.0577,51.9423
test,date,3,37,L3_S37,6,1183748,380892,6721596,7102488,94.6372,5.3628
test,date,3,38,L3_S38,3,1183748,3470145,81099,3551244,2.2837,97.7163
test,date,3,39,L3_S39,4,1183748,4494548,240444,4734992,5.078,94.922
test,date,3,40,L3_S40,8,1183748,8989058,480926,9469984,5.0784,94.9216
test,date,3,41,L3_S41,18,1183748,20225466,1081998,21307464,5.078,94.922
test,date,3,42,L3_S42,8,1183748,9469836,148,9469984,0.0016,99.9984
test,date,3,43,L3_S43,8,1183748,9225356,244628,9469984,2.5832,97.4168
test,date,3,44,L3_S44,8,1183748,9230056,239928,9469984,2.5336,97.4664
test,date,3,45,L3_S45,5,1183748,5618025,300715,5918740,5.0807,94.9193
test,date,3,46,L3_S46,1,1183748,1183748,0,1183748,0.0,100.0
test,date,3,47,L3_S47,11,1183748,12359589,661639,13021228,5.0812,94.9188
test,date,3,48,L3_S48,7,1183748,7865365,420871,8286236,5.0792,94.9208
test,date,3,49,L3_S49,7,1183748,8076978,209258,8286236,2.5254,97.4746
test,date,3,50,L3_S50,7,1183748,8073891,212345,8286236,2.5626,97.4374
test,date,3,51,L3_S51,5,1183748,5618370,300370,5918740,5.0749,94.9251
test,numeric,0,0,L0_S0,12,1183748,6110928,8094048,14204976,56.9804,43.0196
test,numeric,0,1,L0_S1,2,1183748,1018445,1349051,2367496,56.9822,43.0178
test,numeric,0,2,L0_S2,9,1183748,7599204,3054528,10653732,28.671,71.329
test,numeric,0,3,L0_S3,9,1183748,7632495,3021237,10653732,28.3585,71.6415
test,numeric,0,4,L0_S4,2,1183748,1696922,670574,2367496,28.3242,71.6758
test,numeric,0,5,L0_S5,2,1183748,1687324,680172,2367496,28.7296,71.2704
test,numeric,0,6,L0_S6,3,1183748,2532303,1018941,3551244,28.6925,71.3075
test,numeric,0,7,L0_S7,3,1183748,2544258,1006986,3551244,28.3559,71.6441
test,numeric,0,8,L0_S8,3,1183748,1527738,2023506,3551244,56.9802,43.0198
test,numeric,0,9,L0_S9,12,1183748,11496420,2708556,14204976,19.0677,80.9323
test,numeric,0,10,L0_S10,12,1183748,11506466,2698510,14204976,18.9969,81.0031
test,numeric,0,11,L0_S11,12,1183748,11496996,2707980,14204976,19.0636,80.9364
test,numeric,0,12,L0_S12,12,1183748,11295996,2908980,14204976,20.4786,79.5214
test,numeric,0,13,L0_S13,2,1183748,1882664,484832,2367496,20.4787,79.5213
test,numeric,0,14,L0_S14,9,1183748,9563697,1090035,10653732,10.2315,89.7685
test,numeric,0,15,L0_S15,9,1183748,9562131,1091601,10653732,10.2462,89.7538
test,numeric,0,16,L0_S16,2,1183748,2128336,239160,2367496,10.1018,89.8982
test,numeric,0,17,L0_S17,2,1183748,2121626,245870,2367496,10.3852,89.6148
test,numeric,0,18,L0_S18,3,1183748,3187533,363711,3551244,10.2418,89.7582
test,numeric,0,19,L0_S19,3,1183748,3187566,363678,3551244,10.2409,89.7591
test,numeric,0,20,L0_S20,3,1183748,2823861,727383,3551244,20.4825,79.5175
test,numeric,0,21,L0_S21,14,1183748,15430504,1141968,16572472,6.8908,93.1092
test,numeric,0,22,L0_S22,14,1183748,15446518,1125954,16572472,6.7941,93.2059
test,numeric,0,23,L0_S23,14,1183748,15443722,1128750,16572472,6.811,93.189
test,numeric,1,24,L1_S24,229,1183748,261870915,9207377,271078292,3.3966,96.6034
test,numeric,1,25,L1_S25,284,1183748,332369653,3814779,336184432,1.1347,98.8653
test,numeric,2,26,L2_S26,14,1183748,13389810,3182662,16572472,19.2045,80.7955
test,numeric,2,27,L2_S27,14,1183748,14898688,1673784,16572472,10.0998,89.9002
test,numeric,2,28,L2_S28,14,1183748,16438492,133980,16572472,0.8084,99.1916
test,numeric,3,29,L3_S29,53,1183748,3559908,59178736,62738644,94.3258,5.6742
test,numeric,3,30,L3_S30,68,1183748,14285872,66208992,80494864,82.2524,17.7476
test,numeric,3,31,L3_S31,4,1183748,4578052,156940,4734992,3.3145,96.6855
test,numeric,3,32,L3_S32,1,1183748,1159613,24135,1183748,2.0389,97.9611
test,numeric,3,33,L3_S33,10,1183748,692540,11144940,11837480,94.1496,5.8504
test,numeric,3,34,L3_S34,4,1183748,275252,4459740,4734992,94.1869,5.8131
test,numeric,3,35,L3_S35,8,1183748,5053354,4416630,9469984,46.6382,53.3618
test,numeric,3,36,L3_S36,8,1183748,4918928,4551056,9469984,48.0577,51.9423
test,numeric,3,37,L3_S37,4,1183748,253928,4481064,4734992,94.6372,5.3628
test,numeric,3,38,L3_S38,3,1183748,3470145,81099,3551244,2.2837,97.7163
test,numeric,3,39,L3_S39,4,1183748,4494548,240444,4734992,5.078,94.922
test,numeric,3,40,L3_S40,8,1183748,8989058,480926,9469984,5.0784,94.9216
test,numeric,3,41,L3_S41,14,1183748,15730918,841554,16572472,5.078,94.922
test,numeric,3,43,L3_S43,8,1183748,9225356,244628,9469984,2.5832,97.4168
test,numeric,3,44,L3_S44,8,1183748,9230056,239928,9469984,2.5336,97.4664
test,numeric,3,45,L3_S45,5,1183748,5618025,300715,5918740,5.0807,94.9193
test,numeric,3,47,L3_S47,11,1183748,12359589,661639,13021228,5.0812,94.9188
test,numeric,3,48,L3_S48,6,1183748,6741742,360746,7102488,5.0791,94.9209
test,numeric,3,49,L3_S49,7,1183748,8076978,209258,8286236,2.5254,97.4746
test,numeric,3,50,L3_S50,7,1183748,8073891,212345,8286236,2.5626,97.4374
test,numeric,3,51,L3_S51,4,1183748,4494696,240296,4734992,5.0749,94.9251
train,categorical,0,1,L0_S1,4,1183747,4734884,104,4734988,0.0022,99.9978
train,categorical,0,2,L0_S2,18,1183747,21302712,4734,21307446,0.0222,99.9778
train,categorical,0,3,L0_S3,18,1183747,21307446,0,21307446,0.0,100.0
train,categorical,0,4,L0_S4,6,1183747,7101993,489,7102482,0.0069,99.9931
train,categorical,0,6,L0_S6,10,1183747,11837400,70,11837470,0.0006,99.9994
train,categorical,0,9,L0_S9,39,1183747,46152569,13564,46166133,0.0294,99.9706
train,categorical,0,10,L0_S10,39,1183747,46149541,16592,46166133,0.0359,99.9641
train,categorical,0,11,L0_S11,26,1183747,30777266,156,30777422,0.0005,99.9995
train,categorical,0,14,L0_S14,18,1183747,21306222,1224,21307446,0.0057,99.9943
train,categorical,0,15,L0_S15,9,1183747,10653714,9,10653723,0.0001,99.9999
train,categorical,0,16,L0_S16,6,1183747,7102108,374,7102482,0.0053,99.9947
train,categorical,0,18,L0_S18,10,1183747,11837470,0,11837470,0.0,100.0
train,categorical,0,21,L0_S21,45,1183747,53266115,2500,53268615,0.0047,99.9953
train,categorical,0,22,L0_S22,45,1183747,53266034,2581,53268615,0.0048,99.9952
train,categorical,0,23,L0_S23,30,1183747,35512410,0,35512410,0.0,100.0
train,categorical,1,24,L1_S24,660,1183747,775064148,6208872,781273020,0.7947,99.2053
train,categorical,1,25,L1_S25,567,1183747,669543505,1641044,671184549,0.2445,99.7555
train,categorical,2,26,L2_S26,53,1183747,56608442,6130149,62738591,9.7709,90.2291
train,categorical,2,27,L2_S27,53,1183747,59477062,3261529,62738591,5.1986,94.8014
train,categorical,2,28,L2_S28,53,1183747,62479252,259339,62738591,0.4134,99.5866
train,categorical,3,29,L3_S29,63,1183747,25195755,49380306,74576061,66.2147,33.7853
train,categorical,3,30,L3_S30,204,1183747,241482696,1692,241484388,0.0007,99.9993
train,categorical,3,31,L3_S31,8,1183747,9469920,56,9469976,0.0006,99.9994
train,categorical,3,32,L3_S32,3,1183747,3508017,43224,3551241,1.2172,98.7828
train,categorical,3,35,L3_S35,18,1183747,21306858,588,21307446,0.0028,99.9972
train,categorical,3,36,L3_S36,8,1183747,9469968,8,9469976,0.0001,99.9999
train,categorical,3,38,L3_S38,6,1183747,7102464,18,7102482,0.0003,99.9997
train,categorical,3,39,L3_S39,8,1183747,9469952,24,9469976,0.0003,99.9997
train,categorical,3,42,L3_S42,24,1183747,28409768,160,28409928,0.0006,99.9994
train,categorical,3,43,L3_S43,24,1183747,28405440,4488,28409928,0.0158,99.9842
train,categorical,3,44,L3_S44,8,1183747,9453232,16744,9469976,0.1768,99.8232
train,categorical,3,46,L3_S46,3,1183747,3551240,1,3551241,0.0,100.0
train,categorical,3,47,L3_S47,33,1183747,38404146,659505,39063651,1.6883,98.3117
train,categorical,3,49,L3_S49,21,1183747,24857894,793,24858687,0.0032,99.9968
train,date,0,0,L0_S0,12,1183747,6118620,8086344,14204964,56.9262,43.0738
train,date,0,1,L0_S1,2,1183747,1019688,1347806,2367494,56.9296,43.0704
train,date,0,2,L0_S2,9,1183747,7595757,3057966,10653723,28.7033,71.2967
train,date,0,3,L0_S3,9,1183747,7641351,3012372,10653723,28.2753,71.7247
train,date,0,4,L0_S4,2,1183747,1696956,670538,2367494,28.3227,71.6773
train,date,0,5,L0_S5,2,1183747,1688470,679024,2367494,28.6811,71.3189
train,date,0,6,L0_S6,5,1183747,4223795,1694940,5918735,28.6369,71.3631
train,date,0,7,L0_S7,5,1183747,4240245,1678490,5918735,28.3589,71.6411
train,date,0,8,L0_S8,4,1183747,2039464,2695524,4734988,56.9278,43.0722
train,date,0,9,L0_S9,13,1183747,12455074,2933637,15388711,19.0636,80.9364
train,date,0,10,L0_S10,13,1183747,12469857,2918854,15388711,18.9675,81.0325
train,date,0,11,L0_S11,13,1183747,12457835,2930876,15388711,19.0456,80.9544
train,date,0,12,L0_S12,12,1183747,11300232,2904732,14204964,20.4487,79.5513
train,date,0,13,L0_S13,2,1183747,1883364,484130,2367494,20.449,79.551
train,date,0,14,L0_S14,9,1183747,9568098,1085625,10653723,10.1901,89.8099
train,date,0,15,L0_S15,9,1183747,9560718,1093005,10653723,10.2594,89.7406
train,date,0,16,L0_S16,2,1183747,2129216,238278,2367494,10.0646,89.9354
train,date,0,17,L0_S17,2,1183747,2121440,246054,2367494,10.393,89.607
train,date,0,18,L0_S18,5,1183747,5313330,605405,5918735,10.2286,89.7714
train,date,0,19,L0_S19,5,1183747,5313600,605135,5918735,10.2241,89.7759
train,date,0,20,L0_S20,4,1183747,3766544,968444,4734988,20.4529,79.5471
train,date,0,21,L0_S21,15,1183747,16535557,1220648,17756205,6.8745,93.1255
train,date,0,22,L0_S22,15,1183747,16547311,1208894,17756205,6.8083,93.1917
train,date,0,23,L0_S23,15,1183747,16551855,1204350,17756205,6.7827,93.2173
train,date,1,24,L1_S24,288,1183747,329026408,11892728,340919136,3.4884,96.5116
train,date,1,25,L1_S25,333,1183747,389638898,4548853,394187751,1.154,98.846
train,date,2,26,L2_S26,26,1183747,24875142,5902280,30777422,19.1773,80.8227
train,date,2,27,L2_S27,26,1183747,27638468,3138954,30777422,10.1989,89.8011
train,date,2,28,L2_S28,26,1183747,30528264,249158,30777422,0.8095,99.1905
train,date,3,29,L3_S29,63,1183747,4190349,70385712,74576061,94.3811,5.6189
train,date,3,30,L3_S30,68,1183747,14257295,66237501,80494796,82.2879,17.7121
train,date,3,31,L3_S31,4,1183747,4578976,156012,4734988,3.2949,96.7051
train,date,3,32,L3_S32,1,1183747,1159204,24543,1183747,2.0733,97.9267
train,date,3,33,L3_S33,10,1183747,690520,11146950,11837470,94.1667,5.8333
train,date,3,34,L3_S34,5,1183747,343145,5575590,5918735,94.2024,5.7976
train,date,3,35,L3_S35,8,1183747,5053336,4416640,9469976,46.6383,53.3617
train,date,3,36,L3_S36,8,1183747,4917724,4552252,9469976,48.0704,51.9296
train,date,3,37,L3_S37,6,1183747,380118,6722364,7102482,94.6481,5.3519
train,date,3,38,L3_S38,3,1183747,3469815,81426,3551241,2.2929,97.7071
train,date,3,39,L3_S39,4,1183747,4495356,239632,4734988,5.0609,94.9391
train,date,3,40,L3_S40,8,1183747,8990700,479276,9469976,5.061,94.939
train,date,3,41,L3_S41,18,1183747,20229012,1078434,21307446,5.0613,94.9387
train,date,3,42,L3_S42,8,1183747,9469884,92,9469976,0.001,99.999
train,date,3,43,L3_S43,8,1183747,9225592,244384,9469976,2.5806,97.4194
train,date,3,44,L3_S44,8,1183747,9231544,238432,9469976,2.5178,97.4822
train,date,3,45,L3_S45,5,1183747,5619075,299660,5918735,5.0629,94.9371
train,date,3,46,L3_S46,1,1183747,1183746,1,1183747,0.0001,99.9999
train,date,3,47,L3_S47,11,1183747,12361712,659505,13021217,5.0648,94.9352
train,date,3,48,L3_S48,7,1183747,7866768,419461,8286229,5.0621,94.9379
train,date,3,49,L3_S49,7,1183747,8078538,207691,8286229,2.5065,97.4935
train,date,3,50,L3_S50,7,1183747,8073716,212513,8286229,2.5647,97.4353
train,date,3,51,L3_S51,5,1183747,5619470,299265,5918735,5.0562,94.9438
train,numeric,0,0,L0_S0,12,1183747,6118620,8086344,14204964,56.9262,43.0738
train,numeric,0,1,L0_S1,2,1183747,1019688,1347806,2367494,56.9296,43.0704
train,numeric,0,2,L0_S2,9,1183747,7595757,3057966,10653723,28.7033,71.2967
train,numeric,0,3,L0_S3,9,1183747,7641351,3012372,10653723,28.2753,71.7247
train,numeric,0,4,L0_S4,2,1183747,1696956,670538,2367494,28.3227,71.6773
train,numeric,0,5,L0_S5,2,1183747,1688470,679024,2367494,28.6811,71.3189
train,numeric,0,6,L0_S6,3,1183747,2534277,1016964,3551241,28.6369,71.3631
train,numeric,0,7,L0_S7,3,1183747,2544147,1007094,3551241,28.3589,71.6411
train,numeric,0,8,L0_S8,3,1183747,1529598,2021643,3551241,56.9278,43.0722
train,numeric,0,9,L0_S9,12,1183747,11497006,2707958,14204964,19.0635,80.9365
train,numeric,0,10,L0_S10,12,1183747,11510650,2694314,14204964,18.9674,81.0326
train,numeric,0,11,L0_S11,12,1183747,11499540,2705424,14204964,19.0456,80.9544
train,numeric,0,12,L0_S12,12,1183747,11300232,2904732,14204964,20.4487,79.5513
train,numeric,0,13,L0_S13,2,1183747,1883364,484130,2367494,20.449,79.551
train,numeric,0,14,L0_S14,9,1183747,9568098,1085625,10653723,10.1901,89.8099
train,numeric,0,15,L0_S15,9,1183747,9560718,1093005,10653723,10.2594,89.7406
train,numeric,0,16,L0_S16,2,1183747,2129216,238278,2367494,10.0646,89.9354
train,numeric,0,17,L0_S17,2,1183747,2121440,246054,2367494,10.393,89.607
train,numeric,0,18,L0_S18,3,1183747,3187998,363243,3551241,10.2286,89.7714
train,numeric,0,19,L0_S19,3,1183747,3188160,363081,3551241,10.2241,89.7759
train,numeric,0,20,L0_S20,3,1183747,2824908,726333,3551241,20.4529,79.5471
train,numeric,0,21,L0_S21,14,1183747,15433219,1139239,16572458,6.8743,93.1257
train,numeric,0,22,L0_S22,14,1183747,15444164,1128294,16572458,6.8082,93.1918
train,numeric,0,23,L0_S23,14,1183747,15448398,1124060,16572458,6.7827,93.2173
train,numeric,1,24,L1_S24,229,1183747,261827149,9250914,271078063,3.4126,96.5874
train,numeric,1,25,L1_S25,284,1183747,332364794,3819354,336184148,1.1361,98.8639
train,numeric,2,26,L2_S26,14,1183747,13394304,3178154,16572458,19.1773,80.8227
train,numeric,2,27,L2_S27,14,1183747,14882252,1690206,16572458,10.1989,89.8011
train,numeric,2,28,L2_S28,14,1183747,16438296,134162,16572458,0.8095,99.1905
train,numeric,3,29,L3_S29,53,1183747,3549169,59189422,62738591,94.3429,5.6571
train,numeric,3,30,L3_S30,68,1183747,14257295,66237501,80494796,82.2879,17.7121
train,numeric,3,31,L3_S31,4,1183747,4578976,156012,4734988,3.2949,96.7051
train,numeric,3,32,L3_S32,1,1183747,1159204,24543,1183747,2.0733,97.9267
train,numeric,3,33,L3_S33,10,1183747,690520,11146950,11837470,94.1667,5.8333
train,numeric,3,34,L3_S34,4,1183747,274516,4460472,4734988,94.2024,5.7976
train,numeric,3,35,L3_S35,8,1183747,5053336,4416640,9469976,46.6383,53.3617
train,numeric,3,36,L3_S36,8,1183747,4917724,4552252,9469976,48.0704,51.9296
train,numeric,3,37,L3_S37,4,1183747,253412,4481576,4734988,94.6481,5.3519
train,numeric,3,38,L3_S38,3,1183747,3469815,81426,3551241,2.2929,97.7071
train,numeric,3,39,L3_S39,4,1183747,4495356,239632,4734988,5.0609,94.9391
train,numeric,3,40,L3_S40,8,1183747,8990700,479276,9469976,5.061,94.939
train,numeric,3,41,L3_S41,14,1183747,15733676,838782,16572458,5.0613,94.9387
train,numeric,3,43,L3_S43,8,1183747,9225592,244384,9469976,2.5806,97.4194
train,numeric,3,44,L3_S44,8,1183747,9231544,238432,9469976,2.5178,97.4822
train,numeric,3,45,L3_S45,5,1183747,5619075,299660,5918735,5.0629,94.9371
train,numeric,3,47,L3_S47,11,1183747,12361712,659505,13021217,5.0648,94.9352
train,numeric,3,48,L3_S48,6,1183747,6742944,359538,7102482,5.0621,94.9379
train,numeric,3,49,L3_S49,7,1183747,8078538,207691,8286229,2.5065,97.4935
train,numeric,3,50,L3_S50,7,1183747,8073716,212513,8286229,2.5647,97.4353
train,numeric,3,51,L3_S51,4,1183747,4495576,239412,4734988,5.0562,94.9438
