node_id,node_type,label,line,station,critical_score,evidence_value
feature:L0_S0_F0,feature,L0_S0_F0,L0,L0_S0,0.0,0.0
feature:L0_S0_F10,feature,L0_S0_F10,L0,L0_S0,0.0,0.0
feature:L0_S0_F12,feature,L0_S0_F12,L0,L0_S0,0.0,0.0
feature:L0_S0_F14,feature,L0_S0_F14,L0,L0_S0,0.0,0.0
feature:L0_S0_F16,feature,L0_S0_F16,L0,L0_S0,0.0,0.0
feature:L0_S0_F18,feature,L0_S0_F18,L0,L0_S0,0.0,0.0
feature:L0_S0_F2,feature,L0_S0_F2,L0,L0_S0,0.0,0.0
feature:L0_S0_F20,feature,L0_S0_F20,L0,L0_S0,0.0,0.0
feature:L0_S0_F22,feature,L0_S0_F22,L0,L0_S0,0.0,0.0
feature:L0_S0_F4,feature,L0_S0_F4,L0,L0_S0,0.0,0.0
feature:L0_S0_F6,feature,L0_S0_F6,L0,L0_S0,0.0,0.0
feature:L0_S0_F8,feature,L0_S0_F8,L0,L0_S0,0.0,0.0
feature:L0_S10_D216,feature,L0_S10_D216,L0,L0_S10,0.0,0.0
feature:L0_S10_D221,feature,L0_S10_D221,L0,L0_S10,0.0,0.0
feature:L0_S10_D226,feature,L0_S10_D226,L0,L0_S10,0.0,0.0
feature:L0_S10_D231,feature,L0_S10_D231,L0,L0_S10,0.0,0.0
feature:L0_S10_D236,feature,L0_S10_D236,L0,L0_S10,0.0,0.0
feature:L0_S10_D241,feature,L0_S10_D241,L0,L0_S10,0.0,0.0
feature:L0_S10_D246,feature,L0_S10_D246,L0,L0_S10,0.0,0.0
feature:L0_S10_D251,feature,L0_S10_D251,L0,L0_S10,0.0,0.0
feature:L0_S10_D256,feature,L0_S10_D256,L0,L0_S10,0.0,0.0
feature:L0_S10_D261,feature,L0_S10_D261,L0,L0_S10,0.0,0.0
feature:L0_S10_D266,feature,L0_S10_D266,L0,L0_S10,0.0,0.0
feature:L0_S10_D271,feature,L0_S10_D271,L0,L0_S10,0.0,0.0
feature:L0_S10_D276,feature,L0_S10_D276,L0,L0_S10,0.0,0.0
feature:L0_S10_F215,feature,L0_S10_F215,L0,L0_S10,2.065866237503299,0.0014045311196333
feature:L0_S10_F217,feature,L0_S10_F217,L0,L0_S10,0.0,0.0
feature:L0_S10_F218,feature,L0_S10_F218,L0,L0_S10,0.0,0.0
feature:L0_S10_F219,feature,L0_S10_F219,L0,L0_S10,0.0,0.0
feature:L0_S10_F220,feature,L0_S10_F220,L0,L0_S10,0.0,0.0
feature:L0_S10_F222,feature,L0_S10_F222,L0,L0_S10,0.0,0.0
feature:L0_S10_F223,feature,L0_S10_F223,L0,L0_S10,0.0,0.0
feature:L0_S10_F224,feature,L0_S10_F224,L0,L0_S10,0.0,0.0
feature:L0_S10_F225,feature,L0_S10_F225,L0,L0_S10,0.0,0.0
feature:L0_S10_F227,feature,L0_S10_F227,L0,L0_S10,0.0,0.0
feature:L0_S10_F228,feature,L0_S10_F228,L0,L0_S10,0.0,0.0
feature:L0_S10_F229,feature,L0_S10_F229,L0,L0_S10,0.0,0.0
feature:L0_S10_F230,feature,L0_S10_F230,L0,L0_S10,0.0,0.0
feature:L0_S10_F232,feature,L0_S10_F232,L0,L0_S10,0.0,0.0
feature:L0_S10_F233,feature,L0_S10_F233,L0,L0_S10,0.0,0.0
feature:L0_S10_F234,feature,L0_S10_F234,L0,L0_S10,0.0,0.0
feature:L0_S10_F235,feature,L0_S10_F235,L0,L0_S10,0.0,0.0
feature:L0_S10_F237,feature,L0_S10_F237,L0,L0_S10,0.0,0.0
feature:L0_S10_F238,feature,L0_S10_F238,L0,L0_S10,0.0,0.0
feature:L0_S10_F239,feature,L0_S10_F239,L0,L0_S10,0.0,0.0
feature:L0_S10_F240,feature,L0_S10_F240,L0,L0_S10,0.0,0.0
feature:L0_S10_F242,feature,L0_S10_F242,L0,L0_S10,0.0,0.0
feature:L0_S10_F243,feature,L0_S10_F243,L0,L0_S10,0.0,0.0
feature:L0_S10_F244,feature,L0_S10_F244,L0,L0_S10,0.0,0.0
feature:L0_S10_F245,feature,L0_S10_F245,L0,L0_S10,0.0,0.0
feature:L0_S10_F247,feature,L0_S10_F247,L0,L0_S10,0.0,0.0
feature:L0_S10_F248,feature,L0_S10_F248,L0,L0_S10,0.0,0.0
feature:L0_S10_F249,feature,L0_S10_F249,L0,L0_S10,0.0,0.0
feature:L0_S10_F250,feature,L0_S10_F250,L0,L0_S10,0.0,0.0
feature:L0_S10_F252,feature,L0_S10_F252,L0,L0_S10,0.0,0.0
feature:L0_S10_F253,feature,L0_S10_F253,L0,L0_S10,0.0,0.0
feature:L0_S10_F254,feature,L0_S10_F254,L0,L0_S10,0.0,0.0
feature:L0_S10_F255,feature,L0_S10_F255,L0,L0_S10,0.0,0.0
feature:L0_S10_F257,feature,L0_S10_F257,L0,L0_S10,0.0,0.0
feature:L0_S10_F258,feature,L0_S10_F258,L0,L0_S10,0.0,0.0
feature:L0_S10_F259,feature,L0_S10_F259,L0,L0_S10,0.0,0.0
feature:L0_S10_F260,feature,L0_S10_F260,L0,L0_S10,0.0,0.0
feature:L0_S10_F262,feature,L0_S10_F262,L0,L0_S10,0.0,0.0
feature:L0_S10_F263,feature,L0_S10_F263,L0,L0_S10,0.0,0.0
feature:L0_S10_F264,feature,L0_S10_F264,L0,L0_S10,0.0,0.0
feature:L0_S10_F265,feature,L0_S10_F265,L0,L0_S10,0.0,0.0
feature:L0_S10_F267,feature,L0_S10_F267,L0,L0_S10,0.0,0.0
feature:L0_S10_F268,feature,L0_S10_F268,L0,L0_S10,0.0,0.0
feature:L0_S10_F269,feature,L0_S10_F269,L0,L0_S10,0.0,0.0
feature:L0_S10_F270,feature,L0_S10_F270,L0,L0_S10,0.0,0.0
feature:L0_S10_F272,feature,L0_S10_F272,L0,L0_S10,0.0,0.0
feature:L0_S10_F273,feature,L0_S10_F273,L0,L0_S10,0.0,0.0
feature:L0_S10_F274,feature,L0_S10_F274,L0,L0_S10,0.0,0.0
feature:L0_S10_F275,feature,L0_S10_F275,L0,L0_S10,0.0,0.0
feature:L0_S10_F277,feature,L0_S10_F277,L0,L0_S10,0.0,0.0
feature:L0_S10_F278,feature,L0_S10_F278,L0,L0_S10,0.0,0.0
feature:L0_S11_D280,feature,L0_S11_D280,L0,L0_S11,0.0,0.0
feature:L0_S11_D284,feature,L0_S11_D284,L0,L0_S11,0.0,0.0
feature:L0_S11_D288,feature,L0_S11_D288,L0,L0_S11,0.0,0.0
feature:L0_S11_D292,feature,L0_S11_D292,L0,L0_S11,0.0,0.0
feature:L0_S11_D296,feature,L0_S11_D296,L0,L0_S11,0.0,0.0
feature:L0_S11_D300,feature,L0_S11_D300,L0,L0_S11,0.0,0.0
feature:L0_S11_D304,feature,L0_S11_D304,L0,L0_S11,0.0,0.0
feature:L0_S11_D308,feature,L0_S11_D308,L0,L0_S11,0.0,0.0
feature:L0_S11_D312,feature,L0_S11_D312,L0,L0_S11,0.0,0.0
feature:L0_S11_D316,feature,L0_S11_D316,L0,L0_S11,0.0,0.0
feature:L0_S11_D320,feature,L0_S11_D320,L0,L0_S11,0.0,0.0
feature:L0_S11_D324,feature,L0_S11_D324,L0,L0_S11,0.0,0.0
feature:L0_S11_D328,feature,L0_S11_D328,L0,L0_S11,0.0,0.0
feature:L0_S11_F279,feature,L0_S11_F279,L0,L0_S11,0.0,0.0
feature:L0_S11_F281,feature,L0_S11_F281,L0,L0_S11,0.0,0.0
feature:L0_S11_F282,feature,L0_S11_F282,L0,L0_S11,0.0,0.0
feature:L0_S11_F283,feature,L0_S11_F283,L0,L0_S11,0.0,0.0
feature:L0_S11_F285,feature,L0_S11_F285,L0,L0_S11,0.0,0.0
feature:L0_S11_F286,feature,L0_S11_F286,L0,L0_S11,0.0,0.0
feature:L0_S11_F287,feature,L0_S11_F287,L0,L0_S11,0.0,0.0
feature:L0_S11_F289,feature,L0_S11_F289,L0,L0_S11,0.0,0.0
feature:L0_S11_F290,feature,L0_S11_F290,L0,L0_S11,0.0,0.0
feature:L0_S11_F291,feature,L0_S11_F291,L0,L0_S11,0.0,0.0
feature:L0_S11_F293,feature,L0_S11_F293,L0,L0_S11,0.0,0.0
feature:L0_S11_F294,feature,L0_S11_F294,L0,L0_S11,0.0,0.0
feature:L0_S11_F295,feature,L0_S11_F295,L0,L0_S11,0.0,0.0
feature:L0_S11_F297,feature,L0_S11_F297,L0,L0_S11,0.0,0.0
feature:L0_S11_F298,feature,L0_S11_F298,L0,L0_S11,0.0,0.0
feature:L0_S11_F299,feature,L0_S11_F299,L0,L0_S11,0.0,0.0
feature:L0_S11_F301,feature,L0_S11_F301,L0,L0_S11,0.0,0.0
feature:L0_S11_F302,feature,L0_S11_F302,L0,L0_S11,0.0,0.0
feature:L0_S11_F303,feature,L0_S11_F303,L0,L0_S11,0.0,0.0
feature:L0_S11_F305,feature,L0_S11_F305,L0,L0_S11,0.0,0.0
feature:L0_S11_F306,feature,L0_S11_F306,L0,L0_S11,0.0,0.0
feature:L0_S11_F307,feature,L0_S11_F307,L0,L0_S11,0.0,0.0
feature:L0_S11_F309,feature,L0_S11_F309,L0,L0_S11,0.0,0.0
feature:L0_S11_F310,feature,L0_S11_F310,L0,L0_S11,0.0,0.0
feature:L0_S11_F311,feature,L0_S11_F311,L0,L0_S11,0.0,0.0
feature:L0_S11_F313,feature,L0_S11_F313,L0,L0_S11,0.0,0.0
feature:L0_S11_F314,feature,L0_S11_F314,L0,L0_S11,0.0,0.0
feature:L0_S11_F315,feature,L0_S11_F315,L0,L0_S11,0.0,0.0
feature:L0_S11_F317,feature,L0_S11_F317,L0,L0_S11,0.0,0.0
feature:L0_S11_F318,feature,L0_S11_F318,L0,L0_S11,0.0,0.0
feature:L0_S11_F319,feature,L0_S11_F319,L0,L0_S11,0.0,0.0
feature:L0_S11_F321,feature,L0_S11_F321,L0,L0_S11,0.0,0.0
feature:L0_S11_F322,feature,L0_S11_F322,L0,L0_S11,0.0,0.0
feature:L0_S11_F323,feature,L0_S11_F323,L0,L0_S11,0.0,0.0
feature:L0_S11_F325,feature,L0_S11_F325,L0,L0_S11,0.0,0.0
feature:L0_S11_F326,feature,L0_S11_F326,L0,L0_S11,0.0,0.0
feature:L0_S11_F327,feature,L0_S11_F327,L0,L0_S11,0.0,0.0
feature:L0_S11_F329,feature,L0_S11_F329,L0,L0_S11,0.0,0.0
feature:L0_S12_D331,feature,L0_S12_D331,L0,L0_S12,0.0,0.0
feature:L0_S12_D333,feature,L0_S12_D333,L0,L0_S12,0.0,0.0
feature:L0_S12_D335,feature,L0_S12_D335,L0,L0_S12,0.0,0.0
feature:L0_S12_D337,feature,L0_S12_D337,L0,L0_S12,0.0,0.0
feature:L0_S12_D339,feature,L0_S12_D339,L0,L0_S12,0.0,0.0
feature:L0_S12_D341,feature,L0_S12_D341,L0,L0_S12,0.0,0.0
feature:L0_S12_D343,feature,L0_S12_D343,L0,L0_S12,0.0,0.0
feature:L0_S12_D345,feature,L0_S12_D345,L0,L0_S12,0.0,0.0
feature:L0_S12_D347,feature,L0_S12_D347,L0,L0_S12,0.0,0.0
feature:L0_S12_D349,feature,L0_S12_D349,L0,L0_S12,0.0,0.0
feature:L0_S12_D351,feature,L0_S12_D351,L0,L0_S12,0.0,0.0
feature:L0_S12_D353,feature,L0_S12_D353,L0,L0_S12,0.0,0.0
feature:L0_S12_F330,feature,L0_S12_F330,L0,L0_S12,0.0,0.0
feature:L0_S12_F332,feature,L0_S12_F332,L0,L0_S12,0.0,0.0
feature:L0_S12_F334,feature,L0_S12_F334,L0,L0_S12,0.0,0.0
feature:L0_S12_F336,feature,L0_S12_F336,L0,L0_S12,0.0,0.0
feature:L0_S12_F338,feature,L0_S12_F338,L0,L0_S12,0.0,0.0
feature:L0_S12_F340,feature,L0_S12_F340,L0,L0_S12,0.0,0.0
feature:L0_S12_F342,feature,L0_S12_F342,L0,L0_S12,0.0,0.0
feature:L0_S12_F344,feature,L0_S12_F344,L0,L0_S12,0.0,0.0
feature:L0_S12_F346,feature,L0_S12_F346,L0,L0_S12,0.0,0.0
feature:L0_S12_F348,feature,L0_S12_F348,L0,L0_S12,0.0,0.0
feature:L0_S12_F350,feature,L0_S12_F350,L0,L0_S12,0.0,0.0
feature:L0_S12_F352,feature,L0_S12_F352,L0,L0_S12,0.0,0.0
feature:L0_S13_D355,feature,L0_S13_D355,L0,L0_S13,0.0,0.0
feature:L0_S13_D357,feature,L0_S13_D357,L0,L0_S13,0.0,0.0
feature:L0_S13_F354,feature,L0_S13_F354,L0,L0_S13,0.0,0.0
feature:L0_S13_F356,feature,L0_S13_F356,L0,L0_S13,0.0,0.0
feature:L0_S14_D360,feature,L0_S14_D360,L0,L0_S14,0.0,0.0
feature:L0_S14_D364,feature,L0_S14_D364,L0,L0_S14,0.0,0.0
feature:L0_S14_D368,feature,L0_S14_D368,L0,L0_S14,0.0,0.0
feature:L0_S14_D372,feature,L0_S14_D372,L0,L0_S14,0.0,0.0
feature:L0_S14_D376,feature,L0_S14_D376,L0,L0_S14,0.0,0.0
feature:L0_S14_D380,feature,L0_S14_D380,L0,L0_S14,0.0,0.0
feature:L0_S14_D384,feature,L0_S14_D384,L0,L0_S14,0.0,0.0
feature:L0_S14_D388,feature,L0_S14_D388,L0,L0_S14,0.0,0.0
feature:L0_S14_D392,feature,L0_S14_D392,L0,L0_S14,0.0,0.0
feature:L0_S14_F358,feature,L0_S14_F358,L0,L0_S14,0.0,0.0
feature:L0_S14_F359,feature,L0_S14_F359,L0,L0_S14,0.0,0.0
feature:L0_S14_F361,feature,L0_S14_F361,L0,L0_S14,0.0,0.0
feature:L0_S14_F362,feature,L0_S14_F362,L0,L0_S14,0.0,0.0
feature:L0_S14_F363,feature,L0_S14_F363,L0,L0_S14,0.0,0.0
feature:L0_S14_F365,feature,L0_S14_F365,L0,L0_S14,0.0,0.0
feature:L0_S14_F366,feature,L0_S14_F366,L0,L0_S14,0.0,0.0
feature:L0_S14_F367,feature,L0_S14_F367,L0,L0_S14,0.0,0.0
feature:L0_S14_F369,feature,L0_S14_F369,L0,L0_S14,0.0,0.0
feature:L0_S14_F370,feature,L0_S14_F370,L0,L0_S14,0.0,0.0
feature:L0_S14_F371,feature,L0_S14_F371,L0,L0_S14,0.0,0.0
feature:L0_S14_F373,feature,L0_S14_F373,L0,L0_S14,0.0,0.0
feature:L0_S14_F374,feature,L0_S14_F374,L0,L0_S14,0.0,0.0
feature:L0_S14_F375,feature,L0_S14_F375,L0,L0_S14,0.0,0.0
feature:L0_S14_F377,feature,L0_S14_F377,L0,L0_S14,0.0,0.0
feature:L0_S14_F378,feature,L0_S14_F378,L0,L0_S14,0.0,0.0
feature:L0_S14_F379,feature,L0_S14_F379,L0,L0_S14,0.0,0.0
feature:L0_S14_F381,feature,L0_S14_F381,L0,L0_S14,0.0,0.0
feature:L0_S14_F382,feature,L0_S14_F382,L0,L0_S14,0.0,0.0
feature:L0_S14_F383,feature,L0_S14_F383,L0,L0_S14,0.0,0.0
feature:L0_S14_F385,feature,L0_S14_F385,L0,L0_S14,0.0,0.0
feature:L0_S14_F386,feature,L0_S14_F386,L0,L0_S14,0.0,0.0
feature:L0_S14_F387,feature,L0_S14_F387,L0,L0_S14,0.0,0.0
feature:L0_S14_F389,feature,L0_S14_F389,L0,L0_S14,0.0,0.0
feature:L0_S14_F390,feature,L0_S14_F390,L0,L0_S14,0.0,0.0
feature:L0_S14_F391,feature,L0_S14_F391,L0,L0_S14,0.0,0.0
feature:L0_S14_F393,feature,L0_S14_F393,L0,L0_S14,0.0,0.0
feature:L0_S15_D395,feature,L0_S15_D395,L0,L0_S15,0.0,0.0
feature:L0_S15_D398,feature,L0_S15_D398,L0,L0_S15,0.0,0.0
feature:L0_S15_D401,feature,L0_S15_D401,L0,L0_S15,0.0,0.0
feature:L0_S15_D404,feature,L0_S15_D404,L0,L0_S15,0.0,0.0
feature:L0_S15_D407,feature,L0_S15_D407,L0,L0_S15,0.0,0.0
feature:L0_S15_D410,feature,L0_S15_D410,L0,L0_S15,0.0,0.0
feature:L0_S15_D413,feature,L0_S15_D413,L0,L0_S15,0.0,0.0
feature:L0_S15_D416,feature,L0_S15_D416,L0,L0_S15,0.0,0.0
feature:L0_S15_D419,feature,L0_S15_D419,L0,L0_S15,0.0,0.0
feature:L0_S15_F394,feature,L0_S15_F394,L0,L0_S15,0.0,0.0
feature:L0_S15_F396,feature,L0_S15_F396,L0,L0_S15,0.0,0.0
feature:L0_S15_F397,feature,L0_S15_F397,L0,L0_S15,0.0,0.0
feature:L0_S15_F399,feature,L0_S15_F399,L0,L0_S15,0.0,0.0
feature:L0_S15_F400,feature,L0_S15_F400,L0,L0_S15,0.0,0.0
feature:L0_S15_F402,feature,L0_S15_F402,L0,L0_S15,0.0,0.0
feature:L0_S15_F403,feature,L0_S15_F403,L0,L0_S15,0.0,0.0
feature:L0_S15_F405,feature,L0_S15_F405,L0,L0_S15,0.0,0.0
feature:L0_S15_F406,feature,L0_S15_F406,L0,L0_S15,0.0,0.0
feature:L0_S15_F408,feature,L0_S15_F408,L0,L0_S15,0.0,0.0
feature:L0_S15_F409,feature,L0_S15_F409,L0,L0_S15,0.0,0.0
feature:L0_S15_F411,feature,L0_S15_F411,L0,L0_S15,0.0,0.0
feature:L0_S15_F412,feature,L0_S15_F412,L0,L0_S15,0.0,0.0
feature:L0_S15_F414,feature,L0_S15_F414,L0,L0_S15,0.0,0.0
feature:L0_S15_F415,feature,L0_S15_F415,L0,L0_S15,0.0,0.0
feature:L0_S15_F417,feature,L0_S15_F417,L0,L0_S15,0.0,0.0
feature:L0_S15_F418,feature,L0_S15_F418,L0,L0_S15,0.0,0.0
feature:L0_S15_F420,feature,L0_S15_F420,L0,L0_S15,0.0,0.0
feature:L0_S16_D423,feature,L0_S16_D423,L0,L0_S16,0.0,0.0
feature:L0_S16_D428,feature,L0_S16_D428,L0,L0_S16,0.0,0.0
feature:L0_S16_F421,feature,L0_S16_F421,L0,L0_S16,0.0,0.0
feature:L0_S16_F422,feature,L0_S16_F422,L0,L0_S16,0.0,0.0
feature:L0_S16_F424,feature,L0_S16_F424,L0,L0_S16,0.0,0.0
feature:L0_S16_F425,feature,L0_S16_F425,L0,L0_S16,0.0,0.0
feature:L0_S16_F426,feature,L0_S16_F426,L0,L0_S16,0.0,0.0
feature:L0_S16_F427,feature,L0_S16_F427,L0,L0_S16,0.0,0.0
feature:L0_S16_F429,feature,L0_S16_F429,L0,L0_S16,0.0,0.0
feature:L0_S16_F430,feature,L0_S16_F430,L0,L0_S16,0.0,0.0
feature:L0_S17_D432,feature,L0_S17_D432,L0,L0_S17,0.0,0.0
feature:L0_S17_D434,feature,L0_S17_D434,L0,L0_S17,0.0,0.0
feature:L0_S17_F431,feature,L0_S17_F431,L0,L0_S17,0.0,0.0
feature:L0_S17_F433,feature,L0_S17_F433,L0,L0_S17,0.0,0.0
feature:L0_S18_D437,feature,L0_S18_D437,L0,L0_S18,0.0,0.0
feature:L0_S18_D441,feature,L0_S18_D441,L0,L0_S18,0.0,0.0
feature:L0_S18_D444,feature,L0_S18_D444,L0,L0_S18,0.0,0.0
feature:L0_S18_D447,feature,L0_S18_D447,L0,L0_S18,0.0,0.0
feature:L0_S18_D451,feature,L0_S18_D451,L0,L0_S18,0.0,0.0
feature:L0_S18_F435,feature,L0_S18_F435,L0,L0_S18,0.0,0.0
feature:L0_S18_F436,feature,L0_S18_F436,L0,L0_S18,0.0,0.0
feature:L0_S18_F438,feature,L0_S18_F438,L0,L0_S18,0.0,0.0
feature:L0_S18_F439,feature,L0_S18_F439,L0,L0_S18,0.0,0.0
feature:L0_S18_F440,feature,L0_S18_F440,L0,L0_S18,0.0,0.0
feature:L0_S18_F442,feature,L0_S18_F442,L0,L0_S18,0.0,0.0
feature:L0_S18_F443,feature,L0_S18_F443,L0,L0_S18,0.0,0.0
feature:L0_S18_F445,feature,L0_S18_F445,L0,L0_S18,0.0,0.0
feature:L0_S18_F446,feature,L0_S18_F446,L0,L0_S18,0.0,0.0
feature:L0_S18_F448,feature,L0_S18_F448,L0,L0_S18,0.0,0.0
feature:L0_S18_F449,feature,L0_S18_F449,L0,L0_S18,0.0,0.0
feature:L0_S18_F450,feature,L0_S18_F450,L0,L0_S18,0.0,0.0
feature:L0_S18_F452,feature,L0_S18_F452,L0,L0_S18,0.0,0.0
feature:L0_S19_D454,feature,L0_S19_D454,L0,L0_S19,0.0,0.0
feature:L0_S19_D456,feature,L0_S19_D456,L0,L0_S19,0.0,0.0
feature:L0_S19_D457,feature,L0_S19_D457,L0,L0_S19,0.0,0.0
feature:L0_S19_D458,feature,L0_S19_D458,L0,L0_S19,0.0,0.0
feature:L0_S19_D460,feature,L0_S19_D460,L0,L0_S19,0.0,0.0
feature:L0_S19_F453,feature,L0_S19_F453,L0,L0_S19,0.0,0.0
feature:L0_S19_F455,feature,L0_S19_F455,L0,L0_S19,0.0,0.0
feature:L0_S19_F459,feature,L0_S19_F459,L0,L0_S19,0.0,0.0
feature:L0_S1_D26,feature,L0_S1_D26,L0,L0_S1,0.0,0.0
feature:L0_S1_D30,feature,L0_S1_D30,L0,L0_S1,0.0,0.0
feature:L0_S1_F24,feature,L0_S1_F24,L0,L0_S1,0.0,0.0
feature:L0_S1_F25,feature,L0_S1_F25,L0,L0_S1,0.0,0.0
feature:L0_S1_F27,feature,L0_S1_F27,L0,L0_S1,0.0,0.0
feature:L0_S1_F28,feature,L0_S1_F28,L0,L0_S1,0.0,0.0
feature:L0_S1_F29,feature,L0_S1_F29,L0,L0_S1,0.0,0.0
feature:L0_S1_F31,feature,L0_S1_F31,L0,L0_S1,0.0,0.0
feature:L0_S20_D462,feature,L0_S20_D462,L0,L0_S20,0.0,0.0
feature:L0_S20_D464,feature,L0_S20_D464,L0,L0_S20,0.0,0.0
feature:L0_S20_D465,feature,L0_S20_D465,L0,L0_S20,0.0,0.0
feature:L0_S20_D467,feature,L0_S20_D467,L0,L0_S20,0.0,0.0
feature:L0_S20_F461,feature,L0_S20_F461,L0,L0_S20,0.0,0.0
feature:L0_S20_F463,feature,L0_S20_F463,L0,L0_S20,0.0,0.0
feature:L0_S20_F466,feature,L0_S20_F466,L0,L0_S20,0.0,0.0
feature:L0_S21_D469,feature,L0_S21_D469,L0,L0_S21,0.0,0.0
feature:L0_S21_D474,feature,L0_S21_D474,L0,L0_S21,0.0,0.0
feature:L0_S21_D479,feature,L0_S21_D479,L0,L0_S21,0.0,0.0
