line,station,station_key,presence_column,part_count,failure_count,failure_rate,failure_rate_pct,overall_failure_rate_pct,failure_rate_lift,categorical_feature_count,date_feature_count,numeric_feature_count,total_feature_count
3,43,L3_S43,present_L3_S43,30551,159,0.005204412294196589,0.520441229419659,0.581120796927046,0.8955818345716428,24,8,8,40
3,50,L3_S50,present_L3_S50,30359,158,0.005204387496294345,0.5204387496294345,0.581120796927046,0.8955775673173342,0,7,7,14
3,49,L3_S49,present_L3_S49,29673,153,0.005156202608431908,0.5156202608431908,0.581120796927046,0.8872858510137296,21,7,7,35
3,34,L3_S34,present_L3_S34,1115118,5718,0.005127708457759627,0.5127708457759627,0.581120796927046,0.882382541611802,0,5,4,9
3,41,L3_S41,present_L3_S41,59913,304,0.005074024001468796,0.5074024001468797,0.581120796927046,0.8731444526336217,0,18,14,32
3,40,L3_S40,present_L3_S40,59914,304,0.0050739393130153215,0.5073939313015321,0.581120796927046,0.8731298793376869,0,8,8,16
3,45,L3_S45,present_L3_S45,59932,304,0.005072415404124675,0.5072415404124675,0.581120796927046,0.872867643172899,0,5,5,10
3,47,L3_S47,present_L3_S47,59955,304,0.005070469518805771,0.5070469518805771,0.581120796927046,0.8725327927718819,33,11,11,55
1,25,L1_S25,present_L1_S25,83658,424,0.005068254082096153,0.5068254082096153,0.581120796927046,0.8721515576274277,567,333,284,1184
3,39,L3_S39,present_L3_S39,59908,303,0.005057755224677839,0.5057755224677839,0.581120796927046,0.8703449009953073,8,4,4,16
3,48,L3_S48,present_L3_S48,59923,303,0.005056489161090066,0.5056489161090065,0.581120796927046,0.8701270351755898,0,7,6,13
3,51,L3_S51,present_L3_S51,59853,302,0.005045695286785959,0.5045695286785958,0.581120796927046,0.8682696116655064,0,5,4,9
3,33,L3_S33,present_L3_S33,1114695,5546,0.004975352002117171,0.4975352002117171,0.581120796927046,0.8561648504797492,0,10,10,20
3,44,L3_S44,present_L3_S44,29804,146,0.0048986713192860016,0.48986713192860015,0.581120796927046,0.8429695418216088,8,8,8,24
3,31,L3_S31,present_L3_S31,39003,106,0.002717739661051714,0.2717739661051714,0.581120796927046,0.4676720701484203,8,4,4,16
3,42,L3_S42,present_L3_S42,15,0,0.0,0.0,0.581120796927046,0.0,24,8,0,32
3,46,L3_S46,present_L3_S46,1,0,0.0,0.0,0.581120796927046,0.0,3,1,0,4
