split,station,product_count,dwell_sum,avg_dwell,median_dwell,p90_dwell,failure_count,labeled_count,inbound_transition_count,inbound_wait_sum,positive_wait_count,avg_waiting_time,median_waiting_time,p90_waiting_time,max_waiting_time,positive_wait_rate,failure_rate_pct
train,L0_S2,339774,0.0,0.0,0.0,0.0,1817.0,339774.0,339770.0,2410.064555644989,123962.0,0.005772079550033445,0.0015411769629117638,0.009870810838022364,5.823002866470622,0.3648409218000412,0.5347672276277762
train,L0_S20,242111,0.0,0.0,0.0,0.0,1323.0,242111.0,242097.0,1078.3792190551758,96360.0,0.005602425546890052,0.005860500621633295,0.005866337732072259,0.4520453856835779,0.3980222803256546,0.5464435734022824
train,L0_S21,81409,0.0,0.0,0.0,0.0,461.0,81409.0,81407.0,540.2013053894043,35630.0,0.00868848698205275,0.007717578841392294,0.007890227821640065,0.9233735439560108,0.4376773496136696,0.5662764559201071
train,L0_S22,80601,0.0,0.0,0.0,0.0,428.0,80601.0,80600.0,441.16331672668457,36312.0,0.08348406165405156,0.0811219140732555,0.08626680094690768,0.5524380142624313,0.45052109181141436,0.5310107815039515
train,L0_S23,80290,0.0,0.0,0.0,0.0,434.0,80290.0,80288.0,449.05411529541016,37106.0,0.015887782813126645,0.01538993595519125,0.017138782231409914,0.11375643206002597,0.46216121960940615,0.5405405405405406
train,L0_S3,334708,0.0,0.0,0.0,0.0,1792.0,334708.0,334707.0,3003.747873067856,134561.0,0.04574083843864616,0.014669005184678596,0.09947297384941269,6.222948192828547,0.4020262498244733,0.5353920432137863
train,L0_S4,335295,0.0,0.0,0.0,0.0,1800.0,335295.0,335292.0,9351.383911132812,334743.0,0.04277792115448891,0.03888517167340266,0.0595936260588091,9.739522016888332,0.9983626212376078,0.5368406925244934
train,L0_S5,339512,0.0,0.0,0.0,0.0,1811.0,339512.0,339510.0,9423.707237243652,338886.0,0.036769779125007264,0.030937822067264555,0.053427529351997106,7.626603953102759,0.9981620570822656,0.5334126628808407
train,L0_S6,338988,0.0,0.0,0.0,0.0,1805.0,338988.0,338987.0,2103.8922896385193,161473.0,0.028312212049536642,0.025539441251273484,0.04420850915736361,2.295332233010199,0.47633980064132253,0.5324672259785007
train,L0_S7,335698,0.0,0.0,0.0,0.0,1805.0,335698.0,335696.0,2143.5834426879883,164639.0,0.020542067604262998,0.01652763245913028,0.030001489190480835,1.918742636612424,0.4904407559220247,0.5376856579425555
train,L0_S8,673881,0.0,0.0,0.0,0.0,3606.0,673881.0,673881.0,1547.0540161132812,121814.0,0.007301245520883316,0.00670765833797354,0.009204893301874047,0.41913351775425484,0.1807648531417268,0.5351093145525694
train,L0_S9,225679,0.0,0.0,0.0,0.0,1196.0,225679.0,225679.0,416.97700691223145,35042.0,0.00580814803272123,0.005262157301010531,0.008234417301236715,0.3801105863580923,0.155273640879302,0.5299562653148941
train,L1_S24,183727,16798.55686187744,0.09143216209806744,0.02996826171875,0.06258967829778891,1521.0,183727.0,2909.0,85146.14129638672,2891.0,23.205985168699026,17.62417411873244,41.69659328206037,151.5368095706308,0.9938123066345823,0.8278587251737632
train,L1_S25,83658,187920.07690429688,2.246289381478398,0.11999677406239354,8.624580409103954,424.0,83658.0,665.0,17759.919799804688,665.0,29.188607172760623,28.250418989908034,35.6613149010996,53.64902945382254,1.0,0.5068254082096153
train,L2_S26,227011,0.0,0.0,0.0,0.0,1695.0,227011.0,226940.0,4081124.3724746704,226753.0,5.494215788515032,3.789117035709881,9.815526663348624,341.47378962219,0.9991759936547105,0.7466598534872759
train,L2_S27,120729,0.0,0.0,0.0,0.0,822.0,120729.0,120154.0,1733026.4498901367,119977.0,6.2687000662944135,4.6003243154001865,12.191891411184125,147.16206742063156,0.9985268904905371,0.6808637527023333
train,L2_S28,9583,0.0,0.0,0.0,0.0,67.0,9583.0,9433.0,194705.96543884277,9414.0,7.704744110569267,5.697315203953997,13.604677561649016,267.81455685603567,0.9979857945510442,0.6991547532088073
train,L3_S29,1119629,0.0,0.0,0.0,0.0,6546.0,1119629.0,1118647.0,4639208.486076355,982666.0,5.691054010904309,5.244071029979766,9.063018537968356,72.99765553318848,0.8784415459032205,0.584657953661436
train,L3_S30,1119811,0.0,0.0,0.0,0.0,6551.0,1119811.0,1118704.0,973548.6924743652,632499.0,7.005235144399215,6.747455483522078,8.917451714785473,48.74693982961818,0.5653854817717645,0.5850094346278077
train,L3_S31,39003,0.0,0.0,0.0,0.0,106.0,39003.0,39003.0,11482.720399856567,23384.0,2.62755739966505,2.3423978323089965,4.398072105307975,7.670410720616171,0.5995436248493705,0.2717739661051714
train,L3_S32,24543,0.0,0.0,0.0,0.0,1106.0,24543.0,24543.0,1830.2790298461914,19418.0,0.613342055532006,0.6023402566412253,0.6288746524347446,3.5320068359375,0.7911828219859023,4.506376563582284
train,L3_S33,1114695,0.0,0.0,0.0,0.0,5546.0,1114695.0,1114695.0,11953.440048217773,494607.0,4.036383416205395,4.02798998361735,4.038079632848962,17.264984130859375,0.4437150969547724,0.4975352002117171
train,L3_S34,1115118,0.0,0.0,0.0,0.0,5718.0,1115118.0,1115118.0,7595.368865966797,429986.0,2.538334119486959,2.534241561086251,2.548107018344412,10.649073158822409,0.3855968606012996,0.5127708457759627
train,L3_S35,552108,0.0,0.0,0.0,0.0,3177.0,552108.0,552107.0,4912.933990478516,279789.0,1.9401938976271274,1.934447577257467,1.951780022012615,9.54498291015625,0.5067658986392131,0.5754308939555305
train,L3_S36,569032,0.0,0.0,0.0,0.0,3391.0,569032.0,569022.0,3118.214916229248,199606.0,1.4552360467449585,1.4521484867130598,1.4575946027192968,7.56005859375,0.35078784300079785,0.5959243065416355
train,L3_S37,1120394,0.0,0.0,0.0,0.0,6556.0,1120394.0,1120388.0,7913.152828216553,569001.0,0.8049511767624553,0.8034669948409533,0.8073929700261626,6.7166697184244795,0.5078606696965694,0.5851512949908693
train,L3_S38,27142,0.0,0.0,0.0,0.0,212.0,27142.0,27037.0,413514.51818847656,27037.0,22.72831123930115,20.507622425277432,32.624813179846996,133.85373694715065,1.0,0.7810772971778056
train,L3_S39,59908,0.0,0.0,0.0,0.0,303.0,59908.0,59788.0,137018.69567871094,53050.0,6.415018590274499,5.770183987592603,8.778366537878998,40.23223765303449,0.887301799692246,0.5057755224677839
train,L3_S40,59914,0.0,0.0,0.0,0.0,304.0,59914.0,59716.0,26508.408905029297,20354.0,4.9829731874868815,4.601246221350458,6.271881388307432,37.329986572265625,0.3408466742581553,0.5073939313015321
train,L3_S41,59913,0.0,0.0,0.0,0.0,304.0,59913.0,59913.0,35582.646547317505,7828.0,6.156341700554759,6.294559489298365,6.494853584652997,41.80439900808834,0.1306561180378215,0.5074024001468797
train,L3_S42,15,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.18997740745544434,11.0,0.011668165524800619,0.011668165524800619,0.012001315752665203,0.014162699381510416,0.7333333333333333,0.0
train,L3_S43,30551,0.0,0.0,0.0,0.0,159.0,30551.0,30551.0,7693.995689153671,13407.0,9.044755617219314,8.642014936315082,10.339714184925693,66.11334228515625,0.4388399725049916,0.520441229419659
train,L3_S44,29804,0.0,0.0,0.0,0.0,146.0,29804.0,29804.0,4285.318844795227,1688.0,7.521613460187019,7.215098607355764,8.411129392078326,44.130035400390625,0.05663669306133405,0.48986713192860015
train,L3_S45,59932,0.0,0.0,0.0,0.0,304.0,59932.0,59932.0,2802.506629228592,26732.0,3.7006500001730753,3.569918774180525,4.399723062513461,40.722503662109375,0.4460388440232263,0.5072415404124675
train,L3_S46,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,L3_S47,59955,0.0,0.0,0.0,0.0,304.0,59955.0,59955.0,840.065426826477,29275.0,1.5033103153304344,1.5060271632353293,1.5087064849176814,10.200008392333984,0.488282878825786,0.5070469518805771
train,L3_S48,59923,0.0,0.0,0.0,0.0,303.0,59923.0,59923.0,570.495112657547,28165.0,1.5932387979248916,1.5917559374700638,1.5939699685759048,10.989997863769531,0.47001985881881747,0.5056489161090065
train,L3_S49,29673,0.0,0.0,0.0,0.0,153.0,29673.0,29673.0,160.31629753112793,13162.0,0.4841640212560153,0.48397894117148743,0.48425266179256543,3.8100179036458335,0.4435682270077175,0.5156202608431908
train,L3_S50,30359,0.0,0.0,0.0,0.0,158.0,30359.0,30359.0,212.49142575263977,16812.0,0.5536179833995979,0.5532352066048825,0.5538870452723063,3.81500244140625,0.5537731809348134,0.5204387496294345
train,L3_S51,59853,0.0,0.0,0.0,0.0,302.0,59853.0,59853.0,119.14626502990723,9357.0,0.00837850534872937,0.007511213525344545,0.009799914898390659,0.0802499448957816,0.15633301588892787,0.5045695286785958
test,L0_S0,674504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
test,L0_S1,674527,0.0,0.0,0.0,0.0,0.0,0.0,673704.0,999.7892456054688,51105.0,0.0014840186300969875,0.0,0.0,1.8591361413035932,0.07585675608279006,
test,L0_S10,224887,0.0,0.0,0.0,0.0,0.0,0.0,224887.0,511.016228556633,41383.0,0.015473287217056039,0.009094911902466538,0.03024992623041585,0.62441668572339,0.18401686180170485,
test,L0_S11,225665,0.0,0.0,0.0,0.0,0.0,0.0,225665.0,573.9072163105011,43421.0,0.035554767670681345,0.009867287746399559,0.09663024568414934,1.055675394149847,0.19241353333481045,
test,L0_S12,242415,0.0,0.0,0.0,0.0,0.0,0.0,99817.0,8858.250244140625,206.0,21.732473734837217,20.7467655927004,27.546893990074654,72.31032140793339,0.0020637767113818287,
test,L0_S13,242416,0.0,0.0,0.0,0.0,0.0,0.0,242415.0,19767.26953125,60211.0,17.923367846562375,13.434604487934232,31.383484540952043,87.94099896257094,0.24837984448157086,
test,L0_S14,121115,0.0,0.0,0.0,0.0,0.0,0.0,73177.0,787.1122817993164,46380.0,0.010910493997042183,0.010382377502871885,0.01109422154555267,2.658705259565117,0.6338057039780259,
test,L0_S15,121289,0.0,0.0,0.0,0.0,0.0,0.0,70137.0,748.9981498718262,42347.0,0.017586553717678963,0.016374889567314903,0.021049050554200754,3.2262798478605035,0.603775468012604,
test,L0_S16,119580,0.0,0.0,0.0,0.0,0.0,0.0,119573.0,2783.3830070495605,119332.0,0.01263424859239057,0.008326506101222085,0.014901639873695163,2.482970601451073,0.9979844948274276,
test,L0_S17,122935,0.0,0.0,0.0,0.0,0.0,0.0,122929.0,2848.1837272644043,122665.0,0.020233815034980503,0.016268580369559273,0.024646419646655857,2.5616029698203184,0.9978524188759366,
test,L0_S18,121237,0.0,0.0,0.0,0.0,0.0,0.0,121232.0,208.39405822753906,9473.0,0.011051842070199828,0.010862108239001226,0.01370667561995272,0.9427469410269709,0.07813943513263824,
test,L0_S19,121226,0.0,0.0,0.0,0.0,0.0,0.0,121219.0,185.12901306152344,9869.0,0.009391789708824217,0.00868835875168018,0.011099781399806807,0.6456262951236867,0.0814146297197634,
test,L0_S2,339392,0.0,0.0,0.0,0.0,0.0,0.0,339391.0,2374.3135743141174,123437.0,0.010573229100171173,0.0018810639024200734,0.009363009320683503,5.713804257792848,0.3637014534858025,
test,L0_S20,242461,0.0,0.0,0.0,0.0,0.0,0.0,242452.0,1126.9291496276855,96479.0,0.00502680616888355,0.005265717215294505,0.005671439251793835,0.8589067467613799,0.39793031197927836,
test,L0_S21,81595,0.0,0.0,0.0,0.0,0.0,0.0,81591.0,408.85837173461914,35573.0,0.01172197064361067,0.01112854739096498,0.011375246770972123,0.1076966214285023,0.4359917147724626,
test,L0_S22,80442,0.0,0.0,0.0,0.0,0.0,0.0,80439.0,434.8361644744873,36223.0,0.012107631025639056,0.01112917557202904,0.012925159413189608,0.17734230326648645,0.45031638881637015,
test,L0_S23,80625,0.0,0.0,0.0,0.0,0.0,0.0,80622.0,449.8390865325928,37337.0,0.015964915696167477,0.01462198251144559,0.018399231429881036,0.12348803073882468,0.46311180571060007,
test,L0_S3,335693,0.0,0.0,0.0,0.0,0.0,0.0,335690.0,2870.8345217704773,134897.0,0.03364792546531681,0.017207543807321035,0.06048859696466444,5.704410688010316,0.4018499210581191,
test,L0_S4,335308,0.0,0.0,0.0,0.0,0.0,0.0,335308.0,8913.209969520569,334780.0,0.028559852841872263,0.0238597678025179,0.03956195050170371,6.495352899145982,0.998425328354826,
test,L0_S5,340086,0.0,0.0,0.0,0.0,0.0,0.0,340082.0,9157.318664550781,339440.0,0.06381857299481145,0.04296781308367791,0.09663546042361937,6.902553213315383,0.9981122199940015,
test,L0_S6,339647,0.0,0.0,0.0,0.0,0.0,0.0,339643.0,2087.354380130768,161663.0,0.0342700623735842,0.015704642810915177,0.07094178209412084,2.0328931018073733,0.4759791899141157,
test,L0_S7,335662,0.0,0.0,0.0,0.0,0.0,0.0,335661.0,2139.4879970550537,164747.0,0.038763142451293496,0.014730636849090975,0.08097998397298578,2.1562778755936827,0.49081364829396323,
test,L0_S8,674502,0.0,0.0,0.0,0.0,0.0,0.0,674502.0,1536.974380493164,121567.0,0.007301455036485834,0.006724217987285222,0.00920852694651289,0.3651110516748234,0.1802322305938307,
test,L0_S9,225727,0.0,0.0,0.0,0.0,0.0,0.0,225727.0,483.9752839207649,34941.0,0.0024515777003219358,0.0017294898176660974,0.005294129992253086,1.3079320636686105,0.15479317937154172,
test,L1_S24,182856,18750.99794769287,0.10254516104222718,0.02996826171875,0.06340126891761397,0.0,0.0,2924.0,79361.84216308594,2908.0,23.300808132320277,18.10650364303334,40.330506520764644,142.4986664518493,0.9945280437756497,
test,L1_S25,83562,185989.75787353516,2.2257695787643046,0.11999930832374091,8.672819078106977,0.0,0.0,668.0,17691.782165527344,667.0,31.422094704170323,29.850660655114908,37.32896081371755,63.461062442555146,0.9985029940119761,
test,L2_S26,227333,0.0,0.0,0.0,0.0,0.0,0.0,227267.0,4081849.8647766113,227067.0,5.492133465984827,3.7285521739232665,9.905349213434285,347.5199317606635,0.9991199778234412,
test,L2_S27,119556,0.0,0.0,0.0,0.0,0.0,0.0,119073.0,1724781.0524291992,118897.0,6.2732653249038,4.607330126964716,12.263521468612335,157.9141606362898,0.9985219151276947,
test,L2_S28,9570,0.0,0.0,0.0,0.0,0.0,0.0,9426.0,195470.52407836914,9405.0,8.064309886846317,6.240847517500924,13.26674762748432,258.81702814127607,0.9977721196690006,
test,L3_S29,1119437,0.0,0.0,0.0,0.0,0.0,0.0,1118458.0,4630112.113311768,982611.0,5.883894638145226,5.398819062494444,9.439212702192817,73.53192396855397,0.8785408124399844,
test,L3_S30,1119555,0.0,0.0,0.0,0.0,0.0,0.0,1118409.0,977291.3839111328,631870.0,6.7697790977406695,6.476260463863547,8.862606953623834,49.23538204365481,0.5649722060534206,
test,L3_S31,39235,0.0,0.0,0.0,0.0,0.0,0.0,39235.0,11936.460151672363,23284.0,5.537352843580951,5.27117735243542,7.244195948601082,36.68000030517578,0.5934497260099401,
test,L3_S32,24135,0.0,0.0,0.0,0.0,0.0,0.0,24135.0,1842.7583084106445,19299.0,1.7978488522560163,1.7872604814652409,1.8127548213487112,9.44500732421875,0.7996270975761343,
test,L3_S33,1114494,0.0,0.0,0.0,0.0,0.0,0.0,1114494.0,11641.962127685547,494378.0,5.05049034302298,5.0423704866906345,5.049892423955627,37.30999755859375,0.44358964696086295,
test,L3_S34,1114935,0.0,0.0,0.0,0.0,0.0,0.0,1114935.0,7930.805374145508,429716.0,2.400131329836301,2.3967833715504256,2.4124531084075143,10.608148538841391,0.38541798400803634,
test,L3_S35,552113,0.0,0.0,0.0,0.0,0.0,0.0,552112.0,4989.585693359375,280878.0,2.0690115023707865,2.0674999973933508,2.2394952942131177,11.2900390625,0.5087337351841655,
test,L3_S36,568882,0.0,0.0,0.0,0.0,0.0,0.0,568872.0,3140.8686027526855,199782.0,0.5254944890896008,0.5226707129093898,0.5280175726177102,5.02001953125,0.3511897228198962,
test,L3_S37,1120266,0.0,0.0,0.0,0.0,0.0,0.0,1120259.0,7914.883884429932,569113.0,0.7427952685578897,0.741074416643663,0.7463654373592777,5.2500050862630205,0.508019127719572,
test,L3_S38,27033,0.0,0.0,0.0,0.0,0.0,0.0,26922.0,405012.3984375,26922.0,22.18910113446622,19.780362038423295,32.90523225214391,133.6905706145276,1.0,
test,L3_S39,60111,0.0,0.0,0.0,0.0,0.0,0.0,59980.0,141051.96937561035,53203.0,5.928017934864871,5.476471199467077,8.245281856539796,40.710528380888746,0.8870123374458153,
test,L3_S40,60119,0.0,0.0,0.0,0.0,0.0,0.0,59931.0,27192.770500183105,20480.0,2.9708767643591343,2.7181218198824735,4.1657037919850275,27.476231671761774,0.341726318599723,
test,L3_S41,60111,0.0,0.0,0.0,0.0,0.0,0.0,60111.0,36905.73542761803,7910.0,6.220721454812266,6.317691362894736,6.6036476051816635,41.58262674967448,0.13158989203307214,
test,L3_S42,20,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.680206298828125,13.0,0.03401031494140625,0.03401031494140625,0.03441070560365915,0.03451080322265625,0.65,
test,L3_S43,30579,0.0,0.0,0.0,0.0,0.0,0.0,30579.0,7152.9557065963745,13407.0,9.102457127496612,8.70055297356436,10.505559368454707,39.936676025390625,0.43843814382419305,
test,L3_S44,29991,0.0,0.0,0.0,0.0,0.0,0.0,29991.0,4319.578895568848,1631.0,5.93288638663103,5.755358281870122,7.1839548914984395,46.33668009440104,0.05438298156113501,
test,L3_S45,60143,0.0,0.0,0.0,0.0,0.0,0.0,60143.0,2815.2058062553406,27016.0,4.051628028808118,3.9305850128785362,4.644449130420278,35.24398193359375,0.44919608266963734,
test,L3_S47,60149,0.0,0.0,0.0,0.0,0.0,0.0,60149.0,840.4058783054352,29547.0,1.4783002553599554,1.4761762917868237,1.479707341007809,9.510032653808594,0.49123011188880944,
test,L3_S48,60125,0.0,0.0,0.0,0.0,0.0,0.0,60125.0,572.6933799982071,28063.0,0.6034897996896801,0.6016482776028744,0.6046726583922353,6.248570033482143,0.46674428274428276,
test,L3_S49,29896,0.0,0.0,0.0,0.0,0.0,0.0,29896.0,154.56873691082,13173.0,0.5496159358881442,0.5493718399493591,0.5497012922800149,3.800048828125,0.4406275086968156,
test,L3_S50,30335,0.0,0.0,0.0,0.0,0.0,0.0,30335.0,203.9158022403717,16912.0,0.6741783743996415,0.67397822721901,0.6745160675507224,3.11004638671875,0.5575078292401516,
test,L3_S51,60074,0.0,0.0,0.0,0.0,0.0,0.0,60074.0,335.29695677757263,9483.0,0.010111469796747768,0.006011111437415744,0.008690347221944991,3.2012545170852302,0.15785531178213535,
