candidate_route,station_count,route_score,minimum_transition_count,mean_transition_count,mean_transition_failure_rate_pct,mean_station_critical_score,start_station,end_station,propagation_rank
L3_S29>L3_S30>L3_S33>L3_S34>L3_S35>L3_S37,6,48.98288354655431,422829,960064.8,0.5316273660252799,45.05046982243554,L3_S29,L3_S37,19
L3_S30>L3_S33>L3_S34>L3_S37,4,48.981562702460046,524654,820469.3333333334,0.4760530551109152,45.14191447414743,L3_S30,L3_S37,20
L2_S27>L3_S29>L3_S30>L3_S33>L3_S34>L3_S37,6,48.97912038595624,160922,918705.2,0.5487697693960593,45.14643352073798,L2_S27,L3_S37,21
L3_S29>L3_S30>L3_S33>L3_S34>L3_S37>L3_S36,6,48.91224857880311,449643,976449.4,0.49836420162894796,44.83017634504561,L3_S29,L3_S36,22
L2_S26>L3_S29>L3_S30>L3_S34,4,48.89085238147221,257914,831098.0,0.6743278223323781,45.97578195617627,L2_S26,L3_S34,23
L1_S24>L2_S26>L3_S29>L3_S30>L3_S34>L3_S37,6,48.782831501372094,243524,652294.4,0.671388861066942,47.76104292062013,L1_S24,L3_S37,24
L2_S26>L3_S29>L3_S30>L3_S33>L3_S34>L3_S35,6,48.63078071729649,257914,927081.8,0.5599639731655085,44.218560036712695,L2_S26,L3_S35,25
L3_S29>L3_S30>L3_S35>L3_S34,4,48.58276224308842,329581,907034.3333333334,0.5150886109543419,45.77401852910607,L3_S29,L3_S34,26
L1_S24>L2_S27>L3_S29>L3_S30>L3_S33>L3_S37,6,48.54890611148553,88940,769248.4,0.590079704036398,47.4907195406854,L1_S24,L3_S37,27
L1_S24>L2_S26>L3_S29>L3_S30>L3_S33>L3_S36,6,48.542899995770185,243524,774804.6,0.6472847213438893,46.342552579270205,L1_S24,L3_S36,28
L2_S27>L3_S29>L3_S30>L3_S32,4,48.530193354563345,34022,722046.6666666666,1.8953953009557685,47.137714755205806,L2_S27,L3_S32,29
L1_S24>L2_S27>L3_S29>L3_S30,4,48.471800433274595,88940,740352.6666666666,0.6544555947856792,49.43439310648086,L1_S24,L3_S30,30
L1_S24>L3_S29>L3_S30>L3_S37,4,48.44705449951274,25747,735185.6666666666,0.7632865117422121,50.740075664681655,L1_S24,L3_S37,31
L3_S29>L3_S30>L3_S33>L3_S37>L3_S36>L3_S32,6,48.39128692763426,668,809338.2,3.2753072550532316,45.643343464142994,L3_S29,L3_S32,32
L2_S27>L3_S29>L3_S30>L3_S34,4,48.381640904364176,160922,798767.3333333334,0.6630878782566104,45.917964076559734,L2_S27,L3_S34,33
L2_S27>L3_S29>L3_S30>L3_S33>L3_S34>L3_S35,6,48.32351929464318,160922,907683.4,0.5532200067200479,44.18001478363501,L2_S27,L3_S35,34
L3_S29>L3_S30>L3_S34>L3_S33>L3_S36>L3_S32,6,48.303296971428,668,750785.0,3.3276448884873764,46.21643810411198,L3_S29,L3_S32,35
L1_S24>L3_S29>L3_S30>L3_S33>L3_S37>L3_S36,6,48.29100962615619,25747,814354.0,0.6451781466845564,47.17446236499304,L1_S24,L3_S36,36
L3_S29>L3_S30>L3_S32>L3_S34>L3_S33>L3_S37,6,48.25820721830954,3949,750167.8,2.5796881250523547,47.40315031860487,L3_S29,L3_S37,37
L3_S29>L3_S30>L3_S33>L3_S37>L3_S35>L3_S32,6,48.203255713418116,972,771830.0,3.080777695462331,45.86363694153292,L3_S29,L3_S32,38
L1_S24>L3_S29>L3_S30>L3_S34>L3_S33>L3_S36,6,48.20301966994993,25747,755800.8,0.6975157801187011,47.747557004962026,L1_S24,L3_S36,39
L3_S29>L3_S30>L3_S35>L3_S32,4,48.20014472288649,972,767249.6666666666,4.764690284650682,46.993769207752145,L3_S29,L3_S32,40
L1_S24>L3_S29>L3_S30>L3_S33>L3_S36>L3_S32,6,48.19720936313998,668,679800.0,3.4219995757159074,48.56072412405941,L1_S24,L3_S32,41
L1_S25>L2_S26>L3_S29>L3_S30>L3_S33>L3_S34,6,48.18247773498766,99767,853126.2,0.5663442971470499,45.2155294413001,L1_S25,L3_S34,42
L1_S24>L2_S26>L3_S29>L3_S30>L3_S35>L3_S34,6,48.14573156996461,243524,644508.2,0.6345462824835966,46.79462418351716,L1_S24,L3_S34,43
L1_S24>L3_S29>L3_S30>L3_S33>L3_S37>L3_S35,6,48.12943350810569,25747,776785.0,0.668159285278969,47.394755842382956,L1_S24,L3_S35,44
L3_S29>L3_S34>L3_S33>L3_S37,4,48.10347063766144,140828,627500.0,0.542977408764082,46.54474652966104,L3_S29,L3_S37,45
L3_S29>L3_S30>L3_S35>L3_S37,4,48.099483033972746,329581,907868.6666666666,0.5630513614954795,44.91437656915259,L3_S29,L3_S37,46
L1_S24>L3_S29>L3_S30>L3_S32>L3_S34>L3_S33,6,48.07539617374575,3949,624462.4,2.7135427820837306,50.32053097852128,L1_S24,L3_S33,47
L2_S26>L3_S29>L3_S30>L3_S37,4,48.059818922182956,208614,812574.6666666666,0.6299059507929942,45.116139996222785,L2_S26,L3_S37,48
L3_S29>L3_S30>L3_S32>L3_S36,4,48.012930318101496,8585,671267.6666666666,4.864589706412136,46.663328991667264,L3_S29,L3_S36,49
L1_S24>L2_S26>L3_S30>L3_S33>L3_S34>L3_S37,6,48.00138852044838,185864,578159.2,0.5986311579558531,46.373221480211384,L1_S24,L3_S37,50
