path_rank,path_signature,part_count,failure_count,failure_rate_pct
35,L0_S0 > L0_S1 > L0_S3 > L0_S4 > L0_S7 > L0_S8 > L0_S11 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10159,51,0.5020179151491289
36,L0_S0 > L0_S1 > L0_S2 > L0_S5 > L0_S6 > L0_S8 > L0_S10 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10147,42,0.4139154429880753
37,L0_S0 > L0_S1 > L0_S2 > L0_S4 > L0_S7 > L0_S8 > L0_S9 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10124,37,0.36546819438956935
38,L0_S0 > L0_S1 > L0_S3 > L0_S5 > L0_S7 > L0_S8 > L0_S10 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10112,38,0.37579113924050633
39,L0_S0 > L0_S1 > L0_S3 > L0_S4 > L0_S7 > L0_S8 > L0_S9 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10111,43,0.4252793986747107
40,L0_S0 > L0_S1 > L0_S2 > L0_S4 > L0_S6 > L0_S8 > L0_S11 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10106,47,0.4650702552938848
41,L0_S0 > L0_S1 > L0_S2 > L0_S5 > L0_S7 > L0_S8 > L0_S11 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10100,41,0.40594059405940597
42,L0_S0 > L0_S1 > L0_S2 > L0_S4 > L0_S6 > L0_S8 > L0_S9 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10087,58,0.574997521562407
43,L0_S0 > L0_S1 > L0_S2 > L0_S5 > L0_S7 > L0_S8 > L0_S9 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10078,41,0.4068267513395515
44,L0_S0 > L0_S1 > L0_S3 > L0_S4 > L0_S7 > L0_S8 > L0_S10 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10043,55,0.547645125958379
45,L0_S0 > L0_S1 > L0_S3 > L0_S5 > L0_S7 > L0_S8 > L0_S9 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10026,33,0.3291442250149611
46,L0_S0 > L0_S1 > L0_S3 > L0_S5 > L0_S6 > L0_S8 > L0_S10 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10021,48,0.47899411236403555
47,L0_S0 > L0_S1 > L0_S3 > L0_S4 > L0_S7 > L0_S8 > L0_S11 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10018,39,0.38929926132960674
48,L0_S0 > L0_S1 > L0_S3 > L0_S4 > L0_S6 > L0_S8 > L0_S11 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10014,33,0.329538645895746
49,L0_S0 > L0_S1 > L0_S3 > L0_S4 > L0_S6 > L0_S8 > L0_S9 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10011,58,0.5793627010288682
50,L0_S0 > L0_S1 > L0_S3 > L0_S5 > L0_S7 > L0_S8 > L0_S11 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,9994,42,0.4202521512907745
