station,product_count,avg_dwell,p90_dwell,avg_waiting_time,p90_waiting_time,positive_wait_rate,failure_count,labeled_count,failure_rate_pct,failure_lift,bottleneck_score,bottleneck_rank
L3_S36,1137914,0.0,0.0,0.9903652679172796,0.9928060876685034,0.350988782910347,3391.0,569032.0,0.5959243065416355,1.0620549861488042,25.632308192560625,29
L0_S17,245962,0.0,0.0,0.019146541787690874,0.023762151370429786,0.9976703262960657,662.0,123027.0,0.5380932640802426,0.9589886296903026,24.87161417301848,30
L0_S16,238719,0.0,0.0,0.01346263981179837,0.01600227377859263,0.9979010391943977,661.0,119139.0,0.5548141246778973,0.9887885106072215,24.79717654305641,31
L3_S50,60694,0.0,0.0,0.6138981788996196,0.6142015564115143,0.5556405050874825,158.0,30359.0,0.5204387496294345,0.9275247929333656,23.521600660048886,32
L3_S49,59569,0.0,0.0,0.5168899785720797,0.5169769770362902,0.44209786785226657,153.0,29673.0,0.5156202608431908,0.9189372928348533,20.935760747546055,33
L0_S7,671360,0.0,0.0,0.029652605027778247,0.055490736581733306,0.49062720210799393,1805.0,335698.0,0.5376856579425555,0.9582621949297745,18.290463429189302,34
L0_S6,678635,0.0,0.0,0.03129113721156042,0.05757514562574223,0.4761594952777191,1805.0,338988.0,0.5324672259785007,0.9489619169809417,18.09467358853385,35
L0_S3,670401,0.0,0.0,0.03969438195198148,0.07998078540703857,0.4019380854412962,1792.0,334708.0,0.5353920432137863,0.9541745198135667,17.194463999837424,36
L0_S22,161043,0.0,0.0,0.04779584633984531,0.04959598018004865,0.4504187403138923,428.0,80601.0,0.5310107815039515,0.9463662448473101,16.704095528535554,37
L0_S23,160915,0.0,0.0,0.01592634925464706,0.017769006830645473,0.4626365126600031,434.0,80290.0,0.5405405405405406,0.963350160405886,16.481425336429627,38
L0_S20,484572,0.0,0.0,0.0053146158578868015,0.005768888491933047,0.3979762961524665,1323.0,242111.0,0.5464435734022824,0.9738705325662305,16.15987438677039,39
L0_S21,163004,0.0,0.0,0.01020522881283171,0.009632737296306093,0.4368345321930661,461.0,81409.0,0.5662764559201071,1.0092166520927168,16.063551303970787,40
L0_S2,679166,0.0,0.0,0.00817265432510231,0.009616910079352933,0.3642711876429219,1817.0,339774.0,0.5347672276277762,0.9530609748528038,15.917890366076842,41
L0_S8,1348383,0.0,0.0,0.007301350278684575,0.009206710124193468,0.18049854186777875,3606.0,673881.0,0.5351093145525694,0.9536706414164675,13.646122848931661,42
L0_S11,451117,0.0,0.0,0.028305104951654777,0.06975496438530186,0.1925709594889371,1193.0,225452.0,0.5291592001845182,0.9430663606993109,13.615399927670206,43
L0_S10,449427,0.0,0.0,0.01720298291399228,0.03824066660515253,0.18371814854581547,1223.0,224540.0,0.5446691012737152,0.9707080722483019,13.211304041996236,44
L3_S42,35,0.0,0.0,0.022839240233103436,0.02320601067816218,0.6916666666666667,0.0,15.0,0.0,0.0,12.765319321794172,45
L0_S9,451406,0.0,0.0,0.004129862866521583,0.0067642736467449,0.15503341012542188,1196.0,225679.0,0.5299562653148941,0.9444868884185339,12.429335620270555,46
L0_S1,1348431,0.0,0.0,0.0014616142108206415,0.0,0.07576956081329009,3606.0,673904.0,0.5350910515444336,0.9536380931236059,11.96785420282124,47
L3_S51,119927,0.0,0.0,0.009244987572738568,0.009245131060167826,0.1570941638355316,302.0,59853.0,0.5045695286785958,0.8992427023186279,11.501586756313575,48
L0_S19,242253,0.0,0.0,0.009906193798035994,0.01236464041938614,0.08098891422529159,669.0,121027.0,0.552769216786337,0.9851440802683242,11.000304979313213,49
L0_S18,242318,0.0,0.0,0.012266689895806891,0.014495450539157233,0.07914058390315723,654.0,121081.0,0.540134290268498,0.9626261420661223,10.975167768287942,50
L0_S0,1348366,0.0,0.0,0.0,0.0,,3608.0,673862.0,0.5354211989992017,0.9542264811900966,10.823526595955911,51
L3_S46,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52
