feature,non_null_count,missing_count,missing_rate,present_rate,value_corr_with_response,abs_value_corr,missing_failure_rate,present_failure_rate,missing_signal_abs_diff,global_response_rate_reference,selection_score
L1_S24_F1326,13563,1170184,0.988542315207557,0.011457684792443,-0.0421438274595618,0.0421438274595618,0.0057819966774455,0.0083314900833149,0.0025494934058693,0.0057804551246729,0.0421438274595618
L1_S24_F816,12026,1171721,0.989840734548852,0.0101592654511478,0.0420617815224657,0.0420617815224657,0.0058068430966074,0.0062364876101779,0.0004296445135704,0.0057804551246729,0.0420617815224657
L1_S24_F829,12026,1171721,0.989840734548852,0.0101592654511478,0.0414005393532373,0.0414005393532373,0.0058068430966074,0.0062364876101779,0.0004296445135704,0.0057804551246729,0.0414005393532373
L1_S24_F1000,11879,1171868,0.9899649164897568,0.0100350835102432,0.0410475056118993,0.0410475056118993,0.0058137947277338,0.0055560232342789,0.0002577714934548,0.0057804551246729,0.0410475056118993
L3_S38_F3952,27142,1156605,0.977071114013383,0.022928885986617,0.0407791940016833,0.0407791940016833,0.0057642842629938,0.007810772971778,0.0020464887087842,0.0057804551246729,0.0407791940016833
L3_S32_F3850,24543,1159204,0.9792666845195808,0.0207333154804193,-0.0099869469714549,0.0099869469714549,0.0049801415454052,0.0450637656358228,0.0400836240904175,0.0057804551246729,0.0400836240904175
L1_S24_F1748,66500,1117247,0.9438224553050608,0.056177544694939,0.0385326565693506,0.0385326565693506,0.0056120088037828,0.0091578947368421,0.0035458859330592,0.0057804551246729,0.0385326565693506
L1_S24_F1036,11951,1171796,0.9899040926819668,0.0100959073180333,-0.0377199953211426,0.0377199953211426,0.00581585873309,0.00535520040164,0.00046065833145,0.0057804551246729,0.0377199953211426
L2_S28_F3248,9583,1174164,0.9919045201381714,0.0080954798618285,0.0363670283395109,0.0363670283395109,0.0058015745670962,0.006991547532088,0.0011899729649918,0.0057804551246729,0.0363670283395109
L1_S24_F1713,66500,1117247,0.9438224553050608,0.056177544694939,0.0359068855823624,0.0359068855823624,0.0056120088037828,0.0091578947368421,0.0035458859330592,0.0057804551246729,0.0359068855823624
L1_S25_F2857,8872,1174875,0.9925051552400976,0.0074948447599022,0.0354033685753909,0.0354033685753909,0.0058159378657303,0.0051848512173128,0.0006310866484175,0.0057804551246729,0.0354033685753909
L1_S24_F1718,66500,1117247,0.9438224553050608,0.056177544694939,0.0347788991631634,0.0347788991631634,0.0056120088037828,0.0091578947368421,0.0035458859330592,0.0057804551246729,0.0347788991631634
L1_S24_F1494,27152,1156595,0.977062666262301,0.022937333737699,-0.0334526856750574,0.0334526856750574,0.0057721155633562,0.0074764289923394,0.0017043134289831,0.0057804551246729,0.0334526856750574
L1_S24_F1498,27152,1156595,0.977062666262301,0.022937333737699,-0.0329265281696603,0.0329265281696603,0.0057721155633562,0.0074764289923394,0.0017043134289831,0.0057804551246729,0.0329265281696603
L1_S24_F1207,13641,1170106,0.9884764227491178,0.0115235772508821,-0.0325170309535492,0.0325170309535492,0.0058011838243714,0.0066710651711751,0.0008698813468036,0.0057804551246729,0.0325170309535492
L1_S25_F2960,8800,1174947,0.9925659790478878,0.0074340209521122,-0.0317983875019098,0.0317983875019098,0.0058206880821007,0.0045454545454545,0.0012752335366461,0.0057804551246729,0.0317983875019098
L1_S25_F2464,7062,1176685,0.99403419818593,0.00596580181407,-0.0305601770878882,0.0305601770878882,0.0058035922953041,0.0070801472670631,0.0012765549717589,0.0057804551246729,0.0305601770878882
L1_S24_F679,23862,1159885,0.9798419763682612,0.0201580236317389,0.0283222078095681,0.0283222078095681,0.0058186803002021,0.0054479926242561,0.000370687675946,0.0057804551246729,0.0283222078095681
L1_S24_F1004,11879,1171868,0.9899649164897568,0.0100350835102432,0.0282813900160413,0.0282813900160413,0.0058137947277338,0.0055560232342789,0.0002577714934548,0.0057804551246729,0.0282813900160413
L1_S24_F691,23862,1159885,0.9798419763682612,0.0201580236317389,-0.0281448490881808,0.0281448490881808,0.0058186803002021,0.0054479926242561,0.000370687675946,0.0057804551246729,0.0281448490881808
L1_S24_F1122,27202,1156545,0.9770204275068912,0.0229795724931087,0.0276844376829161,0.0276844376829161,0.0057723651046868,0.0074626865671641,0.0016903214624773,0.0057804551246729,0.0276844376829161
L1_S24_F1490,27152,1156595,0.977062666262301,0.022937333737699,-0.0273441507149718,0.0273441507149718,0.0057721155633562,0.0074764289923394,0.0017043134289831,0.0057804551246729,0.0273441507149718
L1_S24_F1102,23827,1159920,0.979871543497048,0.020128456502952,-0.0273388957004401,0.0273388957004401,0.0058185047244637,0.0054559952994502,0.0003625094250135,0.0057804551246729,0.0273388957004401
L1_S24_F1174,27197,1156550,0.9770246513824322,0.0229753486175677,-0.0270311569218375,0.0270311569218375,0.0057723401495828,0.0074640585358679,0.0016917183862851,0.0057804551246729,0.0270311569218375
L1_S24_F1609,66583,1117164,0.9437523389710808,0.0562476610289192,-0.0270215163472905,0.0270215163472905,0.005614215996935,0.0091164411336226,0.0035022251366875,0.0057804551246729,0.0270215163472905
L1_S25_F2915,8936,1174811,0.9924510896331732,0.0075489103668267,0.0270199352949135,0.0270199352949135,0.0058145522981994,0.0053715308863025,0.0004430214118968,0.0057804551246729,0.0270199352949135
L2_S28_F3237,9583,1174164,0.9919045201381714,0.0080954798618285,-0.0269344122181081,0.0269344122181081,0.0058015745670962,0.006991547532088,0.0011899729649918,0.0057804551246729,0.0269344122181081
L1_S24_F998,11879,1171868,0.9899649164897568,0.0100350835102432,0.0268582817594972,0.0268582817594972,0.0058137947277338,0.0055560232342789,0.0002577714934548,0.0057804551246729,0.0268582817594972
L1_S24_F719,23637,1160110,0.9800320507676048,0.019967949232395,-0.0264643003536089,0.0264643003536089,0.0058209997327839,0.005330625713923,0.0004903740188608,0.0057804551246729,0.0264643003536089
L1_S24_F1212,13641,1170106,0.9884764227491178,0.0115235772508821,-0.0264562035344773,0.0264562035344773,0.0058011838243714,0.0066710651711751,0.0008698813468036,0.0057804551246729,0.0264562035344773
L3_S49_F4206,29663,1154084,0.9749414359656244,0.0250585640343755,0.0263497977492755,0.0263497977492755,0.0058323310954835,0.0049893807099753,0.0008429503855081,0.0057804551246729,0.0263497977492755
L2_S28_F3303,9583,1174164,0.9919045201381714,0.0080954798618285,0.0263366999953105,0.0263366999953105,0.0058015745670962,0.006991547532088,0.0011899729649918,0.0057804551246729,0.0263366999953105
L1_S24_F1031,11951,1171796,0.9899040926819668,0.0100959073180333,0.0260555421022389,0.0260555421022389,0.00581585873309,0.00535520040164,0.00046065833145,0.0057804551246729,0.0260555421022389
L1_S25_F2886,8936,1174811,0.9924510896331732,0.0075489103668267,0.0258290472603083,0.0258290472603083,0.0058145522981994,0.0053715308863025,0.0004430214118968,0.0057804551246729,0.0258290472603083
L1_S24_F1303,13563,1170184,0.988542315207557,0.011457684792443,-0.0256765382939731,0.0256765382939731,0.0057819966774455,0.0083314900833149,0.0025494934058693,0.0057804551246729,0.0256765382939731
L1_S24_F795,23637,1160110,0.9800320507676048,0.019967949232395,-0.0256730234307114,0.0256730234307114,0.0058209997327839,0.005330625713923,0.0004903740188608,0.0057804551246729,0.0256730234307114
L1_S24_F1842,132922,1050825,0.8877108030685611,0.1122891969314389,-0.0255246490518937,0.0255246490518937,0.0054119382390026,0.0089676652472878,0.0035557270082851,0.0057804551246729,0.0255246490518937
L1_S24_F1700,66500,1117247,0.9438224553050608,0.056177544694939,-0.0253158248604062,0.0253158248604062,0.0056120088037828,0.0091578947368421,0.0035458859330592,0.0057804551246729,0.0253158248604062
L1_S24_F963,11834,1171913,0.9900029313696256,0.0099970686303745,0.0253120626462502,0.0253120626462502,0.0058212512362265,0.0048166300490113,0.0010046211872152,0.0057804551246729,0.0253120626462502
L1_S24_F1478,27152,1156595,0.977062666262301,0.022937333737699,0.0251263577448216,0.0251263577448216,0.0057721155633562,0.0074764289923394,0.0017043134289831,0.0057804551246729,0.0251263577448216
L1_S24_F1176,27197,1156550,0.9770246513824322,0.0229753486175677,0.0250835861375819,0.0250835861375819,0.0057723401495828,0.0074640585358679,0.0016917183862851,0.0057804551246729,0.0250835861375819
L1_S24_F1622,66583,1117164,0.9437523389710808,0.0562476610289192,0.0250550633678289,0.0250550633678289,0.005614215996935,0.0091164411336226,0.0035022251366875,0.0057804551246729,0.0250550633678289
L1_S24_F1474,27152,1156595,0.977062666262301,0.022937333737699,0.0250264565527591,0.0250264565527591,0.0057721155633562,0.0074764289923394,0.0017043134289831,0.0057804551246729,0.0250264565527591
L1_S24_F1166,27197,1156550,0.9770246513824322,0.0229753486175677,0.0249759401927478,0.0249759401927478,0.0057723401495828,0.0074640585358679,0.0016917183862851,0.0057804551246729,0.0249759401927478
L3_S49_F4211,29663,1154084,0.9749414359656244,0.0250585640343755,-0.0248059644303844,0.0248059644303844,0.0058323310954835,0.0049893807099753,0.0008429503855081,0.0057804551246729,0.0248059644303844
L1_S24_F1778,66484,1117263,0.943835971706792,0.0561640282932078,0.0245780446767895,0.0245780446767895,0.0056020829473454,0.0093255520125142,0.0037234690651688,0.0057804551246729,0.0245780446767895
L1_S24_F958,11834,1171913,0.9900029313696256,0.0099970686303745,-0.024446213680414,0.024446213680414,0.0058212512362265,0.0048166300490113,0.0010046211872152,0.0057804551246729,0.024446213680414
L1_S24_F746,23637,1160110,0.9800320507676048,0.019967949232395,-0.024323203901234,0.024323203901234,0.0058209997327839,0.005330625713923,0.0004903740188608,0.0057804551246729,0.024323203901234
L1_S24_F785,23637,1160110,0.9800320507676048,0.019967949232395,-0.0243176345989014,0.0243176345989014,0.0058209997327839,0.005330625713923,0.0004903740188608,0.0057804551246729,0.0243176345989014
L1_S24_F780,23637,1160110,0.9800320507676048,0.019967949232395,-0.0243176312057335,0.0243176312057335,0.0058209997327839,0.005330625713923,0.0004903740188608,0.0057804551246729,0.0243176312057335
L1_S24_F766,23637,1160110,0.9800320507676048,0.019967949232395,-0.0242922725749202,0.0242922725749202,0.0058209997327839,0.005330625713923,0.0004903740188608,0.0057804551246729,0.0242922725749202
L1_S24_F775,23637,1160110,0.9800320507676048,0.019967949232395,-0.0242895595440342,0.0242895595440342,0.0058209997327839,0.005330625713923,0.0004903740188608,0.0057804551246729,0.0242895595440342
L2_S27_F3144,120729,1063018,0.8980111459627775,0.1019888540372224,-0.0242628477715029,0.0242628477715029,0.005697927974879,0.0068086375270233,0.0011107095521442,0.0057804551246729,0.0242628477715029
L1_S24_F814,23839,1159908,0.9798614061957496,0.0201385938042504,-0.0242516607341436,0.0242516607341436,0.0058185649206661,0.0054532488778891,0.0003653160427769,0.0057804551246729,0.0242516607341436
L1_S24_F1657,66583,1117164,0.9437523389710808,0.0562476610289192,0.0240922462139141,0.0240922462139141,0.005614215996935,0.0091164411336226,0.0035022251366875,0.0057804551246729,0.0240922462139141
L1_S25_F2237,7149,1176598,0.993960702751517,0.0060392972484829,0.0236060575892731,0.0236060575892731,0.0058040214244797,0.0069939851727514,0.0011899637482717,0.0057804551246729,0.0236060575892731
L1_S25_F2990,8800,1174947,0.9925659790478878,0.0074340209521122,0.0235163726541373,0.0235163726541373,0.0058206880821007,0.0045454545454545,0.0012752335366461,0.0057804551246729,0.0235163726541373
L1_S24_F1627,66583,1117164,0.9437523389710808,0.0562476610289192,0.0234728683868001,0.0234728683868001,0.005614215996935,0.0091164411336226,0.0035022251366875,0.0057804551246729,0.0234728683868001
L1_S24_F1126,27202,1156545,0.9770204275068912,0.0229795724931087,-0.0234604061947729,0.0234604061947729,0.0057723651046868,0.0074626865671641,0.0016903214624773,0.0057804551246729,0.0234604061947729
L1_S25_F2466,7062,1176685,0.99403419818593,0.00596580181407,0.0234371996078468,0.0234371996078468,0.0058035922953041,0.0070801472670631,0.0012765549717589,0.0057804551246729,0.0234371996078468
L1_S24_F1814,66466,1117281,0.9438511776587396,0.0561488223412603,0.0234287360060152,0.0234287360060152,0.0056449541341882,0.0086059037703487,0.0029609496361604,0.0057804551246729,0.0234287360060152
