feature,corr_with_response,abs_corr_with_response,missing_rate
cycle_time,0.03387597395113188,0.03387597395113188,0.000499532789920016
line_3_station_count,-0.03349701664200332,0.03349701664200332,0.0
station_count_phase5,-0.031677238853373,0.031677238853373,0.0
station_count,-0.031677238853373,0.031677238853373,0.0
start_time,-0.03086126715540406,0.03086126715540406,0.000499532789920016
mean_waiting_time,0.029948333814503104,0.029948333814503104,0.0
line_3_start_time,-0.029839294760215115,0.029839294760215115,0.0005112865026240163
line_3_end_time,-0.02980998483009093,0.02980998483009093,0.0005112865026240163
end_time,-0.029700668160435255,0.029700668160435255,0.000499532789920016
line_2_date_completeness_pct,0.0284831102924193,0.0284831102924193,0.0
line_2_station_count,0.02848311029241914,0.02848311029241914,0.0
line_2_observed_date_values,0.028483110292419123,0.028483110292419123,0.0
L3_S38_F3952,0.028114166178604735,0.028114166178604735,0.9773270881939833
line_2_present,0.02804963157711718,0.02804963157711718,0.0
line_1_date_completeness_pct,0.026862734995696528,0.026862734995696528,0.0
line_1_observed_date_values,0.026862734029435256,0.026862734029435256,0.0
line_switch_count,0.026515189401678213,0.026515189401678213,0.0
line_count_phase5,0.02644901160283711,0.02644901160283711,0.0
line_count,0.02644901160283711,0.02644901160283711,0.0
L3_S49_F4206,0.026430491544621,0.026430491544621,0.9749704687968312
L1_S24_F1778__is_missing,-0.02610529549518164,0.02610529549518164,0.0
L1_S24_F1700__is_missing,-0.026059423538369427,0.026059423538369427,0.0
L1_S24_F1748__is_missing,-0.026059423538369427,0.026059423538369427,0.0
L1_S24_F1718__is_missing,-0.026059423538369427,0.026059423538369427,0.0
L1_S24_F1713__is_missing,-0.026059423538369427,0.026059423538369427,0.0
L1_S24_F1695__is_missing,-0.026059423538369427,0.026059423538369427,0.0
L1_S24_F1672__is_missing,-0.026059423538369427,0.026059423538369427,0.0
L1_S24_F1758__is_missing,-0.026059423538369427,0.026059423538369427,0.0
L1_S24_F1723__is_missing,-0.026059423538369427,0.026059423538369427,0.0
line_0_present,-0.02582559030511952,0.02582559030511952,0.0
L1_S24_F963,0.02565911223034513,0.02565911223034513,0.9901386350413437
line_0_station_count,-0.025532847865571057,0.025532847865571057,0.0
line_0_date_completeness_pct,-0.025518043579760823,0.025518043579760823,0.0
line_0_observed_date_values,-0.025518043532811133,0.025518043532811133,0.0
line_0_start_time,-0.02540870007896336,0.02540870007896336,0.22634124554093524
line_0_end_time,-0.025404476488732237,0.025404476488732237,0.22634124554093524
line_1_station_count,0.025078630190729406,0.025078630190729406,0.0
line_1_present,0.02490025862589381,0.02490025862589381,0.0
L1_S24_F1581__is_missing,-0.02406636347818267,0.02406636347818267,0.0
L1_S24_F1632__is_missing,-0.02406636347818267,0.02406636347818267,0.0
L1_S24_F1604__is_missing,-0.02406636347818267,0.02406636347818267,0.0
L1_S24_F1657__is_missing,-0.02406636347818267,0.02406636347818267,0.0
L1_S24_F1627__is_missing,-0.02406636347818267,0.02406636347818267,0.0
L1_S24_F1622__is_missing,-0.02406636347818267,0.02406636347818267,0.0
L1_S24_F1667__is_missing,-0.02406636347818267,0.02406636347818267,0.0
L1_S24_F1609__is_missing,-0.02406636347818267,0.02406636347818267,0.0
station_span,-0.022739373753002466,0.022739373753002466,0.0
first_station,0.02255298717003607,0.02255298717003607,0.0
L3_S32_F3850,-0.022260182462583274,0.022260182462583274,0.9761105789291192
L1_S24_F1814__is_missing,-0.02154339606958889,0.02154339606958889,0.0
hierarchical_family,0.01939940410229958,0.01939940410229958,0.0
path_complexity_score,-0.0193369819080148,0.0193369819080148,0.0
line_3_observed_date_values,-0.016357822202962558,0.016357822202962558,0.0
line_3_date_completeness_pct,-0.01635782119270594,0.01635782119270594,0.0
path_density,0.010488687240493571,0.010488687240493571,0.0
L2_S27_F3144__is_missing,-0.010422437196133321,0.010422437196133321,0.0
dbscan_family,-0.009871776046446939,0.009871776046446939,0.0
L1_S24_F1498__is_missing,-0.007455973533207273,0.007455973533207273,0.0
L1_S24_F1490__is_missing,-0.007455973533207273,0.007455973533207273,0.0
L1_S24_F1494__is_missing,-0.007455973533207273,0.007455973533207273,0.0
L1_S24_F1474__is_missing,-0.007455973533207273,0.007455973533207273,0.0
L1_S24_F1478__is_missing,-0.007455973533207273,0.007455973533207273,0.0
L1_S24_F1174__is_missing,-0.007416805196848428,0.007416805196848428,0.0
L1_S24_F1176__is_missing,-0.007416805196848428,0.007416805196848428,0.0
